tagID	OTUid	OTU_identifier	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	Site	Date	WOY	BatTagID	BatSpecies	Sex	Age	ReproStat	SiteWeek
bri16.0082	OTU43	BOLD:AAA6614	Animalia	Arthropoda	Insecta	Lepidoptera	Depressariidae	Psilocorsis	Psilocorsis reflexella	ACA	7/7/16	28	DEY3782	MYLE	F	A	L	ACA 28
bri16.0082	OTU379	BOLD:AAB0607	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Pseudotelphusa	Pseudotelphusa quercinigracella	ACA	7/7/16	28	DEY3782	MYLE	F	A	L	ACA 28
bri16.0082	OTU28	BOLD:AAF9055	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Erioptera	Erioptera septemtrionis	ACA	7/7/16	28	DEY3782	MYLE	F	A	L	ACA 28
bri16.0082	OTU36	BOLD:AAI6345	Animalia	Arthropoda	Insecta	Diptera	unknown	unknown	unknown	ACA	7/7/16	28	DEY3782	MYLE	F	A	L	ACA 28
bri16.0082	OTU8	BOLD:ACA9904	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Cheilotrichia	Cheilotrichia stigmatica	ACA	7/7/16	28	DEY3782	MYLE	F	A	L	ACA 28
bri16.0083	OTU407	BOLD:AAC4050	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Nascia	unknown	ACA	7/12/16	29	DEY2619	EPFU	M	A	NR	ACA 29
bri16.0083	OTU12	BOLD:AAF3428	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Melanotus	Melanotus similis	ACA	7/12/16	29	DEY2619	EPFU	M	A	NR	ACA 29
bri16.0083	OTU437	BOLD:AAG9923	Animalia	Arthropoda	Insecta	Blattodea	unknown	unknown	unknown	ACA	7/12/16	29	DEY2619	EPFU	M	A	NR	ACA 29
bri16.0083	OTU26	BOLD:AAH3593	Animalia	Arthropoda	Insecta	Megaloptera	Corydalidae	Chauliodes	Chauliodes pectinicornis	ACA	7/12/16	29	DEY2619	EPFU	M	A	NR	ACA 29
bri16.0083	OTU186	BOLD:AAM7567	Animalia	Arthropoda	Insecta	Coleoptera	Elateridae	Melanotus	Melanotus similis	ACA	7/12/16	29	DEY2619	EPFU	M	A	NR	ACA 29
bri16.0084	OTU324	BOLD:AAA3055	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Clepsis	Clepsis virescana	ACA	7/12/16	29	DEY3783	MYSE	F	A	NR	ACA 29
bri16.0084	OTU378	BOLD:AAA5953	Animalia	Arthropoda	Insecta	Lepidoptera	Gelechiidae	Coleotechnites	Coleotechnites piceaella	ACA	7/12/16	29	DEY3783	MYSE	F	A	NR	ACA 29
bri16.0084	OTU43	BOLD:AAA6614	Animalia	Arthropoda	Insecta	Lepidoptera	Depressariidae	Psilocorsis	Psilocorsis reflexella	ACA	7/12/16	29	DEY3783	MYSE	F	A	NR	ACA 29
bri16.0084	OTU686	BOLD:AAB0271	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Cyclosa	Cyclosa conica	ACA	7/12/16	29	DEY3783	MYSE	F	A	NR	ACA 29
