BatSpecies	ArthropodFamily	RelativeCounts	TotalCounts	percent_taxa
EPFU	Corydalidae	1	5	20
EPFU	Crambidae	1	5	20
EPFU	Elateridae	2	5	40
EPFU	unknown	1	5	20
MYLE	Anthomyiidae	1	340	0.294117647058824
MYLE	Anthribidae	1	340	0.294117647058824
MYLE	Araneidae	1	340	0.294117647058824
MYLE	Blastobasidae	11	340	3.23529411764706
MYLE	Blattisociidae	1	340	0.294117647058824
MYLE	Braconidae	2	340	0.588235294117647
MYLE	Bucculatricidae	1	340	0.294117647058824
MYLE	Cecidomyiidae	8	340	2.35294117647059
MYLE	Ceratopogonidae	3	340	0.882352941176471
MYLE	Chironomidae	52	340	15.2941176470588
MYLE	Cicadellidae	3	340	0.882352941176471
MYLE	Clubionidae	1	340	0.294117647058824
MYLE	Coleophoridae	5	340	1.47058823529412
MYLE	Coniopterygidae	1	340	0.294117647058824
MYLE	Cosmopterigidae	1	340	0.294117647058824
MYLE	Crambidae	3	340	0.882352941176471
MYLE	Culicidae	15	340	4.41176470588235
MYLE	Curculionidae	1	340	0.294117647058824
MYLE	Depressariidae	7	340	2.05882352941176
MYLE	Derbidae	5	340	1.47058823529412
MYLE	Drosophilidae	3	340	0.882352941176471
MYLE	Elateridae	5	340	1.47058823529412
MYLE	Erebidae	4	340	1.17647058823529
MYLE	Gelechiidae	23	340	6.76470588235294
MYLE	Gracillariidae	2	340	0.588235294117647
MYLE	Hemerobiidae	2	340	0.588235294117647
MYLE	Hepialidae	4	340	1.17647058823529
MYLE	Hydropsychidae	2	340	0.588235294117647
MYLE	Ichneumonidae	1	340	0.294117647058824
MYLE	Keroplatidae	5	340	1.47058823529412
MYLE	Lasiocampidae	1	340	0.294117647058824
MYLE	Leptoceridae	6	340	1.76470588235294
MYLE	Limnephilidae	3	340	0.882352941176471
MYLE	Limoniidae	30	340	8.82352941176471
MYLE	Lygaeidae	1	340	0.294117647058824
MYLE	Melandryidae	1	340	0.294117647058824
MYLE	Miridae	5	340	1.47058823529412
MYLE	Muscidae	1	340	0.294117647058824
MYLE	Mycetophagidae	1	340	0.294117647058824
MYLE	Mycetophilidae	13	340	3.82352941176471
MYLE	Nemouridae	1	340	0.294117647058824
MYLE	Nepticulidae	1	340	0.294117647058824
MYLE	Noctuidae	5	340	1.47058823529412
MYLE	Oecophoridae	1	340	0.294117647058824
MYLE	Phryganeidae	2	340	0.588235294117647
MYLE	Pionidae	1	340	0.294117647058824
MYLE	Polycentropodidae	1	340	0.294117647058824
MYLE	Psocidae	1	340	0.294117647058824
MYLE	Psychodidae	3	340	0.882352941176471
MYLE	Ptinidae	1	340	0.294117647058824
MYLE	Sciaridae	13	340	3.82352941176471
MYLE	Scirtidae	3	340	0.882352941176471
MYLE	Sphingidae	3	340	0.882352941176471
MYLE	Stathmopodidae	1	340	0.294117647058824
MYLE	Tenebrionidae	2	340	0.588235294117647
