BatSpecies	ArthropodOrder	RelativeCounts	TotalCounts	percent_taxa
EPFU	Blattodea	1	5	20
EPFU	Coleoptera	2	5	40
EPFU	Lepidoptera	1	5	20
EPFU	Megaloptera	1	5	20
MYLE	Araneae	5	340	1.47058823529412
MYLE	Blattodea	1	340	0.294117647058824
MYLE	Coleoptera	18	340	5.29411764705882
MYLE	Diptera	177	340	52.0588235294118
MYLE	Hemiptera	14	340	4.11764705882353
MYLE	Hymenoptera	3	340	0.882352941176471
MYLE	Lepidoptera	101	340	29.7058823529412
MYLE	Mesostigmata	1	340	0.294117647058824
MYLE	Neuroptera	3	340	0.882352941176471
MYLE	Plecoptera	1	340	0.294117647058824
MYLE	Psocodea	1	340	0.294117647058824
MYLE	Trichoptera	14	340	4.11764705882353
MYLE	Trombidiformes	1	340	0.294117647058824
MYLU	Araneae	6	263	2.28136882129278
MYLU	Coleoptera	16	263	6.08365019011407
MYLU	Diptera	166	263	63.1178707224335
MYLU	Entomobryomorpha	1	263	0.380228136882129
MYLU	Ephemeroptera	2	263	0.760456273764259
MYLU	Hemiptera	6	263	2.28136882129278
MYLU	Hymenoptera	4	263	1.52091254752852
MYLU	Lepidoptera	41	263	15.5893536121673
MYLU	Mesostigmata	1	263	0.380228136882129
MYLU	Neuroptera	2	263	0.760456273764259
MYLU	Odonata	1	263	0.380228136882129
MYLU	Psocodea	2	263	0.760456273764259
MYLU	Symphypleona	1	263	0.380228136882129
MYLU	Trichoptera	5	263	1.90114068441065
MYLU	Trombidiformes	9	263	3.42205323193916
MYSE	Araneae	3	15	20
MYSE	Coleoptera	4	15	26.6666666666667
MYSE	Diptera	2	15	13.3333333333333
MYSE	Lepidoptera	6	15	40
PESU	Diptera	6	11	54.5454545454545
PESU	Lepidoptera	4	11	36.3636363636364
PESU	Mesostigmata	1	11	9.09090909090909
