Arthropod Species	Counts
Tipula hermannia	19
Culiseta melanura	12
Erioptera septemtrionis	11
Procladius signatus	10
Cheilotrichia stigmatica	9
Ormosia affinis	8
Coleophora duplicis group	7
Ablabesmyia americana	6
Clanis thailandica	6
Coleotechnites atrupictella	6
Tanytarsus mendax	6
Dicrotendipes modestus	5
Oecetis inconspicua	5
Pseudotelphusa quercinigracella	5
Tipula trivittata	5
Xenochironomus xenolabis	5
Acleris variana	4
Aedes japonicus	4
Chaoborus punctipennis	4
Coleotechnites piceaella	4
Epinotia transmissana	4
Erioptera caliptera	4
Gyponana salsa	4
Korscheltellus gracilis	4
Psychoda alternata	4
Xestia dilucida	4
Araneus saevus	3
Clubiona canadensis	3
Dicrotendipes tritomus	3
Dryocoetes affaber	3
Hypatopa simplicella	3
Idia rotundalis	3
Mycetophila fungorum	3
Otiocerus degeerii	3
Psilocorsis reflexella	3
Scoparia biplagialis	3
Xestia smithii	3
Athous brightwelli	2
Bradysia brevispina	2
Bucculatrix ainsliella	2
Clepsis peritana	2
Cucullia intermedia	2
Cyclosa conica	2
Cyphon variabilis	2
Dichomeris punctipennella	2
Dicranomyia (Dicranomyia) longipennis	2
Drosophila suzukii	2
Eucosma parmatana	2
Eucosma similana	2
Euphylidorea platyphallus	2
Euxoa messoria	2
Melanotus similis	2
Mycetophila signatoides	2
Neotelphusa praefixa	2
Neotelphusa querciella	2
Parasteatoda tepidariorum	2
Phryganea cinerea	2
Phylocentropus placidus	2
Procladius rufovittatus	2
Psilocorsis quercicella	2
Taygete attributella	2
Uranotaenia sapphirina	2
Wesmaelius longifrons	2
Ablabesmyia monilis	1
Acleris subnivana	1
Aedes canadensis	1
Aedes cantator	1
Aedes nigromaculis	1
Aedes vexans	1
Agonopterix pulvipennella	1
Agriphila ruricolellus	1
Agrotis ipsilon	1
Agrypnia vestita	1
Amara rubrica	1
Ampedus pullus	1
Amphinemura wui	1
Apotomis inundana	1
Araneus diadematus	1
Argyrotaenia quercifoliana	1
Aroga trialbamaculella	1
Asaphocrita aphidiella	1
Athous acanthus	1
Battaristis nigratomella	1
Blastobasis floridella	1
Blepharidopterus provancheri	1
Caenis youngi	1
Caloptilia umbratella	1
Caryocolum pullatella	1
Chauliodes pectinicornis	1
Cheumatopsyche analis	1
Chimarra aterrima	1
Chionodes soter	1
Chironomus acidophilus	1
Chironomus harpi	1
Clepsis virescana	1
Clubiona trivialis	1
Cochylis nana	1
Coenophila subrosea	1
Coenosia nigritarsis	1
Culex territans	1
Cydia latiferreana	1
Dalopius vagus	1
Dendroides canadensis	1
Dendroides concolor	1
Dipoena nigra	1
Drymonia dodonaea	1
Dryocoetes autographus	1
Ectoedemia zimmermannia	1
Elaphria versicolor	1
Enallagma vesperum	1
Entomobrya nivalis	1
Epicallima argenticinctella	1
Epinotia nisella	1
Eucosma derelicta	1
Euparius marmoreus	1
Helina evecta	1
Hemerobius humulinus	1
Hemerobius marginatus	1
Hemicrepidius brevicollis	1
Hexagenia limbata	1
Hulda impudens	1
Hydropsyche slossonae	1
Hypatopa vestaliella	1
Hypena baltimoralis	1
Idia aemula	1
Ironoquia punctatissima	1
Kleidocerys resedae	1
Limnaecia phragmitella	1
Litargus tetraspilotus	1
Loscopia velata	1
Lygus lineolaris	1
Lymantria dispar	1
Machimia tentoriferella	1
Malacosoma disstria	1
Melanophora roralis	1
Metalimnobia cinctipes	1
Metalimnobia novaeangliae	1
Metanema inatomaria	1
Microthyris prolongalis	1
Molophilus forcipulus	1
Monochroa fragariae	1
Moodna ostrinella	1
Mycetophila luctuosa	1
Nemapogon ophrionella	1
Nephrotoma alterna	1
Nephrotoma ferruginea	1
Oegoconia novimundi	1
Olethreutes fasciatana	1
Olethreutes glaciana	1
Orthogonalys pulchella	1
Otiocerus wolfei	1
Parachironomus tenuicaudatus	1
Patara vanduzeei	1
Pelochrista dorsisignatana	1
Phaneta ochroterminana	1
Philodromus rufus	1
Phtheochroa riscana	1
Phyllonorycter blancardella	1
Phytocoris conspurcatus	1
Phytocoris uniformis	1
Pilaria tenuipes	1
Platycentropus radiatus	1
Platynota exasperatana	1
Plectrocnemia cinerea	1
Polypedilum convictum	1
Pseudolimnophila luteipennis	1
Psilocorsis cryptolechiella	1
Ptilostomis ocellifera	1
Ptycta polluta	1
Scaphoideus carinatus	1
Stathmopoda aenea	1
Strongygaster triangulifera	1
Triaenodes connatus	1
Tricyphona autumnalis	1
Zanclognatha lituralis	1
Zeiraphera canadensis	1
