Alias	Band #	Date	SiteName	Territory	Recap	Species	Age	Sex
pomp-4670	2690-82971	6/16/2017	WR2SA	Dupont-Carr st.	N	EAWP	AHY	F
pomp-4587	2690-82974	6/16/2017	WR2SA	Dupont-Carr st.	N	BCCH	AHY	U
pomp-4618	1961-18317	6/8/2017	WR2SA	Dupont	N	CARW	HY	U
pomp-4623	2690-82954	6/8/2017	WR2SA	Dupont	N	BCCH	AHY	U
pomp-4620	1961-18320	6/8/2017	WR2SA	Dupont	N	BHCO	AHY	F
pomp-4624	2690-82955	6/8/2017	WR2SA	Dupont	N	BCCH	AHY	M
pomp-4617	1961-18314	6/8/2017	WR2SA	Dupont	N	CARW	AHY	F
pomp-4621	1961-18321	6/8/2017	WR2SA	Dupont	N	DOWO	AHY	M
pomp-4616	1961-18313	6/8/2017	WR2SA	Dupont	N	SOSP	AHY	M
pomp-4622	2391-76797	6/8/2017	WR2SA	Dupont	N	REVI	AHY	M
pomp-4585	2690-82972	6/16/2017	WR2SA	Dupont-Carr st.	N	WAVI	AHY	M
pomp-4586	2391-76761	6/16/2017	WR2SA	Dupont-Carr st.	N	REVI	AHY	F
pomp-4625	2690-82956	6/8/2017	WR2SA	Dupont	N	EAPH	AHY	M
pomp-4669	1961-18338	6/16/2017	WR2SA	Dupont-Carr st.	N	TUTI	AHY	U
pomp-4588	831-92317	6/16/2017	WR2SA	Dupont-Carr st.	N	BAOR	AHY	F
pomp-4619	1961-18318	6/8/2017	WR2SA	Dupont	N	CARW	AHY	U
pomp-4631	1292-07002	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	N	AMRO	AHY	M
pomp-4630	831-92303	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	N	GRCA	AHY	F
pomp-4629	2690-82957	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	N	BCCH	AHY	F
pomp-4628	1961-18324	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	N	WBNU	AHY	M
pomp-4626	1961-18322	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	N	CARW	AHY	M
pomp-4627	2651-55153	6/9/2017	PSA1	Reach 5-Pompton Aquatic Park	Y	GRCA	AHY	F
pomp-4661	1292-07007	6/15/2017	WRA	Potash Lake	N	AMRO	AHY	F
pomp-4663	2690-82965	6/15/2017	WRA	Potash Lake	N	BCCH	AHY	F
pomp-4685	2391-76774	6/23/2017	WRA	Ramapo Lake	N	REVI	AHY	M
pomp-4584	1961-18336	6/15/2017	WRA	Potash Lake	N	SOSP	AHY	M
pomp-4660	2690-83000	6/15/2017	WRA	Potash Lake	N	WAVI	AHY	M
pomp-4666	831-92313	6/15/2017	WRA	Potash Lake	N	GRCA	AHY	F
pomp-4662	2690-82964	6/15/2017	WRA	Potash Lake	N	YEWA	AHY	M
pomp-4664	2690-82966	6/15/2017	WRA	Potash Lake	N	WAVI	AHY	F
pomp-4665	2690-82967	6/15/2017	WRA	Potash Lake	N	WAVI	AHY	U
pomp-4668	1961-18337	6/15/2017	WRA	Potash Lake	N	TUTI	AHY	F
pomp-4667	2631-12901	6/15/2017	WRA	Potash Lake	Y	REVI	ATY	M
pomp-4675	1961-18347	6/19/2017	PSA2	reach 6	N	SOSP	AHY	M
pomp-4596	831-92326	6/19/2017	PSA2	reach 6	N	GRCA	AHY	F
pomp-4677	1292-07014	6/19/2017	PSA2	reach 6	N	BLJA	AHY	M
pomp-4678	1292-07013	6/19/2017	PSA2	reach 6	N	AMRO	AHY	M
pomp-4597	1961-18352	6/19/2017	PSA2	reach 6	N	TUTI	AHY	U
pomp-4676	831-92325	6/19/2017	PSA2	reach 6	N	GRCA	AHY	M
pomp-4598	unknown	unknown	UNKNOWN	unknown	U	BLJA	unknown	U
pomp-4646	2391-76793	6/14/2017	WRA	Reach 1-Back Beach Park	N	REVI	AHY	M
pomp-4657	2391-76785	6/14/2017	WRA	Reach 1-Back Beach Park	N	WEWA	AHY	M
pomp-4656	2391-76787	6/14/2017	WRA	Reach 1-Back Beach Park	N	WEWA	AHY	M
pomp-4647	2391-76791	6/14/2017	WRA	Reach 1-Back Beach Park	N	REVI	AHY	M
pomp-4613	2690-82952	6/7/2017	WRA	Reach 1-Back Beach Park	N	BCCH	AHY	F
pomp-4614	2690-82953	6/7/2017	WRA	Reach 1-Back Beach Park	N	BCCH	AHY	U
pomp-4611	2391-76800	6/7/2017	WRA	Reach 1-Back Beach Park	N	LOWA	AHY	M
pomp-4649	1961-18333	6/14/2017	WRA	Reach 1-Back Beach Park	N	TUTI	AHY	U
pomp-4651	831-92312	6/14/2017	WRA	Reach 1-Back Beach Park	N	WOTH	SY	M
pomp-4655	2670-18544	6/14/2017	WRA	Reach 1-Back Beach Park	N	BWWA	AHY	M
pomp-4684	1961-18359	6/22/2017	WRA	Reach 1-Back Beach Park	N	CARW	AHY	M
pomp-4648	831-92311	6/14/2017	WRA	Reach 1-Back Beach Park	N	GRCA	AHY	M
pomp-4654	1961-18335	6/14/2017	WRA	Reach 1-Back Beach Park	N	TUTI	AHY	M
pomp-4659	2391-76784	6/14/2017	WRA	Reach 1-Back Beach Park	N	WEWA	AHY	M
pomp-4612	2391-76798	6/7/2017	WRA	Reach 1-Back Beach Park	N	LOWA	AHY	M
pomp-4653	2690-82963	6/14/2017	WRA	Reach 1-Back Beach Park	N	BCCH	AHY	F
pomp-4650	2391-76789	6/14/2017	WRA	Reach 1-Back Beach Park	N	REVI	AHY	M
pomp-4652	1961-18334	6/14/2017	WRA	Reach 1-Back Beach Park	N	TUTI	AHY	F
pomp-4636	831-92305	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	WOTH	AHY	M
pomp-4641	2690-82960	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	BCCH	AHY	U
pomp-4599	2690-82982	6/20/2017	WRA	Ramapo Lake	N	BAWW	AHY	M
pomp-4680	2391-76763	6/20/2017	WRA	Ramapo Lake	N	REVI	AHY	M
pomp-4635	1961-18327	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	TUTI	AHY	U
pomp-4644	2391-76796	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	REVI	AHY	M
pomp-4638	1961-18330	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	SOSP	AHY	M
pomp-4637	831-92306	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	WOTH	AHY	M
pomp-4679	1961-18353	6/20/2017	WRA	Ramapo Lake	N	TUTI	AHY	M
pomp-4643	2690-82962	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	BCCH	AHY	U
pomp-4645	831-92310	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	GRCA	AHY	M
pomp-4642	2690-82961	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	BCCH	AHY	F
pomp-4633	2711-73985	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	Y	SOSP	AHY	M
pomp-4640	831-92307	6/13/2017	WR3USA	Reach 3-Wilderness Is. Park	N	GRCA	AHY	M
pomp-4639	2071-50710	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	Y	NOCA	AHY	M
pomp-4632	2690-82959	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	COYE	AHY	M
pomp-4634	831-92304	6/12/2017	PSA2	Reach 6-Pompton Aquatic Park	N	WOTH	AHY	M
pomp-4606	1961-18306	6/6/2017	WR3DSA	Reach 4-Hershfield Park	N	CARW	HY	U
pomp-4607	2711-73961	6/6/2017	WR3DSA	Reach 4-Hershfield Park	Y	CARW	AHY	U
pomp-4615	1961-18312	6/7/2017	WR3DSA	Reach 4-Carlough Field	N	CARW	AHY	M
pomp-4608	831-92301	6/6/2017	WR3DSA	Reach 4-Hershfield Park	N	GRCA	AHY	M
pomp-4605	1961-18305	6/5/2017	WR3DSA	Reach 4-Carlough Field	N	SOSP	AHY	M
pomp-4604	1961-18304	6/5/2017	WR3DSA	Reach 4-Carlough Field	N	SOSP	AHY	M
pomp-4602	1961-18301	6/5/2017	WR3DSA	Reach 4-Carlough Field	N	CARW	AHY	F
pomp-4610	1961-18310	6/6/2017	WR3DSA	Reach 4-Hershfield Park	N	TUTI	AHY	F
pomp-4603	1961-18303	6/5/2017	WR3DSA	Reach 4-Carlough Field	N	SOSP	AHY	F
pomp-4609	1961-18309	6/6/2017	WR3DSA	Reach 4-Hershfield Park	N	TUTI	AHY	F
pomp-4590	831-92320	6/17/2017	WR3DSA	Reach 4-Hershfield Park	N	NOCA	AHY	F
pomp-4671	2711-73956	6/17/2017	WR3DSA	Reach 4-Hershfield Park	Y	SOSP	AHY	M
pomp-4591	831-92321	6/17/2017	WR3DSA	Reach 4-Hershfield Park	N	NOCA	AHY	F
pomp-4672	2690-82978	6/17/2017	WR3DSA	Reach 4-Hershfield Park	N	BCCH	AHY	U
pomp-4673	1292-07069	6/17/2017	WR3DSA	Reach 4-Hershfield Park	N	AMRO	AHY	F
pomp-4589	2690-82977	6/17/2017	WR3DSA	Reach 4-Hershfield Park	N	EAPH	AHY	U
