OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
OTU44,GS,100.0,BOLD:AAF9042.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula concava,pomp.4584,427,BOLD:AAF9042
OTU68,US,0.2259,BOLD:ACX0589.1,Animalia,Arthropoda,Insecta,Odonata,NA,NA,NA,pomp.4584,244,BOLD:ACX0589
OTU191,GS,100.0,BOLD:AAB1349.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena humuli,pomp.4584,15,BOLD:AAB1349
OTU205,GS,99.4,BOLD:AAH0129.1,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podabrus,NA,pomp.4584,101,BOLD:AAH0129
OTU323,US,0.3081,BOLD:ABX1792.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4584,65,BOLD:ABX1792
OTU369,US,1.0000,BOLD:AAY5839.2,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,25,BOLD:AAY5839
OTU406,GS,100.0,BOLD:AAE0464.1,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,pomp.4584,261,BOLD:AAE0464
OTU419,GS,100.0,BOLD:AAB1787.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum,pomp.4584,65,BOLD:AAB1787
OTU580,US,1.0000,BOLD:AAY5839.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,18,BOLD:AAY5839
OTU616,US,1.0000,None,Animalia,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,pomp.4584,65,None
OTU696,GS,98.9,BOLD:AAF9035.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma alterna,pomp.4584,56,BOLD:AAF9035
OTU859,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4584,8,None
OTU947,SS,0.7300,BOLD:ABW9177.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4584,9,BOLD:ABW9177
OTU1041,US,1.0000,BOLD:ABV3226.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4584,21,BOLD:ABV3226
OTU1071,US,0.0000,BOLD:AAN4996.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4584,1,BOLD:AAN4996
