SiteName,BirdSpecies,NumberOfDetections
PSA1,AMRO,39
PSA1,BCCH,25
PSA1,BLJA,6
PSA1,CARW,28
PSA1,EAWP,31
PSA1,GRCA,6
PSA1,WBNU,10
PSA2,AMRO,9
PSA2,BLJA,132
PSA2,COYE,12
PSA2,GRCA,81
PSA2,NOCA,37
PSA2,SOSP,19
PSA2,TUTI,26
PSA2,WOTH,190
UNKNOWN,BLJA,22
WR2SA,BAOR,31
WR2SA,BCCH,26
WR2SA,BHCO,3
WR2SA,CARW,39
WR2SA,DOWO,8
WR2SA,EAPH,20
WR2SA,EAWP,3
WR2SA,REVI,78
WR2SA,SOSP,16
WR2SA,TUTI,9
WR2SA,WAVI,12
WR2SA,WOTH,10
WR3DSA,AMRO,120
WR3DSA,BCCH,8
WR3DSA,CARW,141
WR3DSA,EAPH,14
WR3DSA,GRCA,38
WR3DSA,NOCA,61
WR3DSA,SOSP,89
WR3DSA,TUTI,40
WR3USA,BCCH,16
WR3USA,GRCA,14
WR3USA,REVI,14
WRA,AMRO,90
WRA,BAWW,11
WRA,BCCH,27
WRA,BWWA,1
WRA,CARW,30
WRA,GRCA,18
WRA,LOWA,18
WRA,REVI,46
WRA,SOSP,16
WRA,TUTI,44
WRA,WAVI,62
WRA,WEWA,16
WRA,WOTH,13
WRA,YEWA,20
