OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads
OTU44_suspect_mock_chimera,GS,100.0,BOLD:AAF9042.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula concava,pomp.4584,427
OTU68,US,0.2259,BOLD:ACX0589.1,Animalia,Arthropoda,Insecta,Odonata,NA,NA,NA,pomp.4584,244
OTU137_suspect_mock_chimera,GS,100.0,BOLD:AAC4559.2,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,Maccaffertium mediopunctatum,pomp.4584,126
OTU146_suspect_mock_chimera,GS,99.4,BOLD:AAF7182.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Agonopterix,Agonopterix thelmae,pomp.4584,41
OTU179_suspect_mock_chimera,US,0.9859,BOLD:ACJ8629.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4584,83
OTU191_suspect_mock_chimera,GS,100.0,BOLD:AAB1349.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena humuli,pomp.4584,15
OTU192_suspect_mock_chimera,GS,100.0,BOLD:AAA2528.3,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche sparna,pomp.4584,219
OTU205_suspect_mock_chimera,GS,99.4,BOLD:AAH0129.1,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podabrus,NA,pomp.4584,101
OTU236_suspect_mock_chimera,GS,100.0,BOLD:AAN5879.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,NA,NA,pomp.4584,32
OTU296_suspect_mock_chimera,GS,99.4,BOLD:AAB6239.1,Animalia,Arthropoda,Insecta,Trichoptera,Dipseudopsidae,Phylocentropus,Phylocentropus placidus,pomp.4584,71
OTU323,US,0.3081,BOLD:ABX1792.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4584,65
OTU369,US,1.0000,BOLD:AAY5839.2,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,25
OTU406_suspect_mock_variant,GS,100.0,BOLD:AAE0464.1,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,pomp.4584,261
OTU414,US,0.2061,BOLD:AAC2734.4,Animalia,Chordata,Actinopterygii,Syngnathiformes,NA,NA,NA,pomp.4584,15
OTU419_suspect_mock_variant,GS,100.0,BOLD:AAB1787.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum,pomp.4584,65
OTU580,US,1.0000,BOLD:AAY5839.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,18
OTU616,US,1.0000,None,Animalia,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,pomp.4584,65
OTU696_suspect_mock_chimera,GS,98.9,BOLD:AAF9035.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma alterna,pomp.4584,56
OTU722_suspect_mock_chimera,US,0.9844,BOLD:ACP5902.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4584,137
OTU856_suspect_mock_chimera,GS,100.0,BOLD:AAV0892.2,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Isomira,Isomira sericea,pomp.4584,30
OTU859,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4584,8
OTU947_suspect_mock_variant,SS,0.7300,BOLD:ABW9177.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4584,9
OTU1041,US,1.0000,BOLD:ABV3226.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4584,21
OTU1071,US,0.0000,BOLD:AAN4996.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4584,1
OTU1128_suspect_mock_variant,GSL,100.0,BOLD:AAB4239.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Macrosiphum,Macrosiphum valerianae,pomp.4584,20
MockIM23_pident=98.3_OTU25,No Hit,NA,NA,NA,NA,NA,NA,NA,NA,NA,pomp.4585,26412
OTU65_suspect_mock_chimera,GS,100.0,BOLD:AAA5695.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,pomp.4585,240
OTU70_suspect_mock_chimera,GS,100.0,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,pomp.4585,3074
