SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,BandNum,SampleDate,SiteName,Territory,RecapStatus,BirdSpecies,BirdAge,BirdSex
pomp.4584,OTU44,GS,100.0,BOLD:AAF9042.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula concava,427,BOLD:AAF9042,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU68,US,0.2259,BOLD:ACX0589.1,Animalia,Arthropoda,Insecta,Odonata,NA,NA,NA,244,BOLD:ACX0589,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU191,GS,100.0,BOLD:AAB1349.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hypena,Hypena humuli,15,BOLD:AAB1349,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU205,GS,99.4,BOLD:AAH0129.1,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podabrus,NA,101,BOLD:AAH0129,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU323,US,0.3081,BOLD:ABX1792.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,65,BOLD:ABX1792,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU369,US,1.0000,BOLD:AAY5839.2,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,25,BOLD:AAY5839,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU406,GS,100.0,BOLD:AAE0464.1,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,261,BOLD:AAE0464,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU419,GS,100.0,BOLD:AAB1787.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum,65,BOLD:AAB1787,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU580,US,1.0000,BOLD:AAY5839.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,18,BOLD:AAY5839,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU616,US,1.0000,None,Animalia,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,65,None,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU696,GS,98.9,BOLD:AAF9035.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma alterna,56,BOLD:AAF9035,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU859,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,8,None,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU947,SS,0.7300,BOLD:ABW9177.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,9,BOLD:ABW9177,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU1041,US,1.0000,BOLD:ABV3226.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,21,BOLD:ABV3226,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU1071,US,0.0000,BOLD:AAN4996.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,1,BOLD:AAN4996,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4584,OTU1128,GSL,100.0,BOLD:AAB4239.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Macrosiphum,Macrosiphum valerianae,20,BOLD:AAB4239,1961-18336,6/15/2017,WRA,Potash Lake,N,SOSP,AHY,M
pomp.4585,OTU65,GS,100.0,BOLD:AAA5695.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,240,BOLD:AAA5695,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU70,GS,100.0,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,3074,BOLD:AAA2247,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU214,GS,100.0,BOLD:AAB5799.4,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Dolichomia,Dolichomia olinalis,42,BOLD:AAB5799,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU250,GS,100.0,BOLD:ACN8224.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Meteorus,NA,473,BOLD:ACN8224,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU299,GS,100.0,BOLD:AAB4783.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos subsignaria,9,BOLD:AAB4783,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,10,None,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU409,GS,100.0,BOLD:AAD2111.2,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,4,BOLD:AAD2111,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU670,GS,100.0,BOLD:AAA2325.2,Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma togatum,47,BOLD:AAA2325,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU949,US,1.0000,BOLD:ACT9469.1,Animalia,Arthropoda,Insecta,Megaloptera,NA,NA,NA,10,BOLD:ACT9469,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,2,None,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU1843,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2,None,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4585,OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,1,None,2690-82972,6/16/2017,WR2SA,Dupont-Carr st.,N,WAVI,AHY,M
pomp.4586,OTU15,GS,100.0,BOLD:AAA8563.2,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Parallelia,Parallelia bistriaris,865,BOLD:AAA8563,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU77,GS,100.0,BOLD:AAF7371.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Misogada,Misogada unicolor,2141,BOLD:AAF7371,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU78,GS,100.0,BOLD:AAJ9298.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanolophia,Melanolophia signataria,4212,BOLD:AAJ9298,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU89,GSL,99.4,BOLD:ACE9100.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,NA,137,BOLD:ACE9100,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU97,GS,99.4,BOLD:AAP8544.1,Animalia,Arthropoda,Insecta,Diptera,Rhagionidae,NA,NA,99,BOLD:AAP8544,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU128,GS,100.0,BOLD:AAA4456.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Speranza,Speranza pustularia,1843,BOLD:AAA4456,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU131,GS,100.0,BOLD:AAB2216.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus quercalbae,894,BOLD:AAB2216,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU148,GS,100.0,BOLD:AAD5218.1,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia pulcherrimus,34,BOLD:AAD5218,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
pomp.4586,OTU206,GS,100.0,BOLD:AAG6831.6,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,NA,19,BOLD:AAG6831,2391-76761,6/16/2017,WR2SA,Dupont-Carr st.,N,REVI,AHY,F
