species_name,counts
Achatia distincta,2
Acronicta betulae,4
Actias luna,2
Acyrthosiphon pisum,4
Aedes canadensis,7
Aethes biscana,2
Agonum muelleri,7
Ampedus nigricollis,2
Analeptura lineola,3
Antheraea polyphemus,2
Anyphaena pectorosa,6
Aphis spiraecola,4
Aphrophora saratogensis,2
Archips argyrospila,4
Archips grisea,2
Armadillidium vulgare,2
Arthromacra aenea,2
Asaphocrita aphidiella,6
Atarba picticornis,2
Atylotus sublunaticornis,3
Bassus annulipes,3
Cardiophorus convexus,4
Catocala lineella,2
Ceraclea cancellata,5
Cheiracanthium mildei,2
Cheumatopsyche analis,9
Cheumatopsyche campyla,2
Chionodes bicostomaculella,3
Chironomus decorus,9
Chironomus staegeri,2
Choroterpes basalis,2
Chrysobothris rugosiceps,2
Chrysopa oculata,4
Chytolita morbidalis,2
Cleora projecta,2
Clepsis virescana,2
Clubiona obesa,4
Clubiona pygmaea,8
Condylostylus caudatus,4
Crambus agitatellus,2
Culiseta morsitans,3
Cylindroiulus punctatus,6
Deidamia inscriptum,4
Dendroides concolor,2
Depressaria radiella,4
Dichomeris georgiella,6
Digrammia ocellinata,3
Dircaea liturata,2
Dolichomia olinalis,4
Dusona vitticollis,3
Elaphria alapallida,2
Elmohardyia atlantica,2
Ennomos subsignaria,5
Epimecis hortaria,6
Epinotia solicitana,10
Epiphragma solatrix,2
Epuraea corticina,3
Eriosoma americanum,2
Eris militaris,2
Eudioctria propinqua,5
Euryopis funebris,7
Eustala anastera,5
Eustala cepina,7
Eutelia pulcherrimus,2
Filatima nr pseudacaciella,3
Frankliniella tritici,2
Geina sheppardi,2
Gelechia albisparsella,3
Gluphisia septentrionis,4
Gnophomyia tristissima,2
Grapholita eclipsana,4
Hamamelistes spinosus,3
Heliomata cycladata,2
Hentzia palmarum,6
Heterocampa guttivitta,2
Himella fidelis,2
Hybomitra lasiophthalma,2
Hydropsyche bronta,3
Hyloniscus riparius,3
Hypagyrtis piniata,2
Hypena humuli,6
Hyperaeschra georgica,2
Iridopsis ephyraria,3
Itoplectis conquisitor,5
Lepidostoma togatum,4
Leucauge venusta,4
Lithacodes fasciola,2
Lycia ursaria,2
Lymantria dispar,20
Lypha dubia,2
Machimia tentoriferella,4
Macrosiphum valerianae,2
Malacosoma americanum,2
Mecaphesa asperata,2
Melanolophia signataria,5
Microlophium carnosum,2
Misogada unicolor,3
Moodna ostrinella,2
Morrisonia confusa,3
Nadata gibbosa,3
Neolygus caryae,2
Neolygus inconspicuus,3
Neolygus quercalbae,8
Neoscona arabesca,4
Neoscona crucifera,3
Nephrotoma alterna,7
Ocypus nero,2
Orchesella cincta,14
Orchesella villosa,8
Oxidus gracilis,4
Paectes oculatrix,7
Palthis angulalis,5
Parallelia bistriaris,3
Phaecasiophora confixana,3
Philoscia muscorum,10
Phrurotimpus borealis,3
Physiphora demandata,2
Podabrus brevicollis,5
Podisus placidus,2
Polydesmus angustus,2
Polygonia comma,3
Prenolepis imparis,2
Pristiphora chlorea,3
Prochoerodes lineola,3
Protoboarmia porcelaria,3
Psilocorsis quercicella,10
Pterostichus mutus,2
Ptilostomis ocellifera,2
Pyralis farinalis,2
Rhyssa nitida,2
Schizocosa ocreata,2
Sciota virgatella,2
Simulium vittatum,2
Sitona hispidulus,3
Speranza pustularia,8
Sphecodina abbottii,3
Stenacron interpunctatum,3
Stonemyia rasa,4
Symphoromyia fulvipes,2
Synanthedon pictipes,2
Syrphus ribesii,2
Tabanus subsimilis,2
Telphusa latifasciella,3
Theridion albidum,6
Theridion murarium,4
Tipula abdominalis,2
Tipula concava,2
Tmarus angulatus,6
Tolype velleda,2
Toxomerus geminatus,3
Trichoniscus pusillus,2
Trigoniophthalmus alternatus,3
Xysticus ferox,5
Xysticus fraternus,3
Zale unilineata,2
Zelus luridus,7
