,BOLDalt,n,TotalCounts
1,BOLD:AAA2326,2,34
2,BOLD:AAA2330,3,313
3,BOLD:AAA3067,6,355
4,BOLD:AAA3564,2,115
5,BOLD:AAA3993,6,82
6,BOLD:AAA4646,3,142
7,BOLD:AAA6260,4,108
8,BOLD:AAA6292,2,93
9,BOLD:AAA6709,2,71
10,BOLD:AAA8103,2,86
11,BOLD:AAA8504,4,107
12,BOLD:AAA8523,4,102
13,BOLD:AAA8620,3,90
14,BOLD:AAA9619,4,385
15,BOLD:AAB0062,4,91
16,BOLD:AAB0124,4,12552
17,BOLD:AAB0223,2,77
18,BOLD:AAB1096,4,445
19,BOLD:AAB4070,2,61
20,BOLD:AAB5414,4,62
21,BOLD:AAB7926,4,14994
22,BOLD:AAC0733,4,39067
23,BOLD:AAC2499,5,253
24,BOLD:AAC2533,2,67
25,BOLD:AAC6357,14,1367
26,BOLD:AAC9882,2,148
27,BOLD:AAD2665,3,44
28,BOLD:AAE0951,2,36
29,BOLD:AAE7137,2,130
30,BOLD:AAE7397,7,28
31,BOLD:AAF9055,11,570
32,BOLD:AAG3622,3,211
33,BOLD:AAG8977,3,102
34,BOLD:AAG9172,4,2086
35,BOLD:AAH2428,3,54
36,BOLD:AAH2433,2,73
37,BOLD:AAK8834,4,99
38,BOLD:AAN0893,3,71
39,BOLD:AAN5406,2,685
40,BOLD:AAN6304,3,2057
41,BOLD:AAN8576,2,42
42,BOLD:AAO2061,3,2680
43,BOLD:AAO4373,8,301
44,BOLD:AAO8357,2,118
45,BOLD:AAY9592,2,635
46,BOLD:AAZ5969,2,38
47,BOLD:ABW5810,11,556
48,BOLD:ABX6298,3,131
49,BOLD:ACA7482,2,123
50,BOLD:ACA9904,17,605
51,BOLD:ACL8650,6,202
52,BOLD:ACM3087,2,45
53,BOLD:ACN3922,2,52
54,BOLD:ACO9170,2,41
55,BOLD:ACP5902,5,228
56,BOLD:ACR3763,5,336
57,BOLD:ACS3427,2,1329
58,BOLD:ACU4209,3,126
59,BOLD:ACW3302,2,83
