#OTU ID,mock.IM4p11.2,pomp.4585,pomp.4586,pomp.4587,pomp.4588,pomp.4589,pomp.4590,pomp.4594,pomp.4595,pomp.4596,pomp.4597,pomp.4598,pomp.4601,pomp.4602,pomp.4604,pomp.4606,pomp.4607,pomp.4608,pomp.4609,pomp.4610,pomp.4611,pomp.4612,pomp.4615,pomp.4617,pomp.4618,pomp.4619,pomp.4622,pomp.4623,pomp.4626,pomp.4631,pomp.4633,pomp.4636,pomp.4637,pomp.4638,pomp.4642,pomp.4644,pomp.4645,pomp.4646,pomp.4649,pomp.4651,pomp.4653,pomp.4659,pomp.4660,pomp.4661,pomp.4662,pomp.4663,pomp.4664,pomp.4665,pomp.4667,pomp.4669,pomp.4672,pomp.4673,pomp.4674,pomp.4676,pomp.4677,pomp.4679,pomp.4682,pomp.4683,pomp.4684
MockIM3_pident=100.0_OTU52,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM4_pident=100.0_OTU61,2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM10_pident=100.0_OTU21,2586,0,0,0,0,0,0,0,0,0,0,10877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4146,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM20_pident=100.0_OTU43,2867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM23_pident=98.3_OTU25,0,26412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM28_pident=100.0_OTU47,2742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MockIM32_pident=100.0_OTU38,2452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,205490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2,0,0,109721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105065,0,0,0,0
OTU4_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6_suspect_mock_variant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118929
OTU7_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8_suspect_mock_chimera,0,0,0,0,0,0,0,0,0,0,0,60860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9_suspect_mock_chimera,0,0,0,0,47565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10_suspect_mock_chimera,0,0,0,0,0,0,0,0,5945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
