Sample:  Count
pomp-4602:  244422
pomp-4677:  218022
pomp-4586:  159256
pomp-4684:  149507
pomp-4615:  139806
pomp-4607:  136891
pomp-4618:  131835
pomp-4606:  123052
pomp-4626:  117433
pomp-4660:  96159
pomp-4588:  95518
pomp-4598:  91266
pomp-4608:  86556
pomp-4610:  83837
pomp-4617:  54324
pomp-4664:  52775
pomp-4601:  49341
pomp-4585:  47750
pomp-4665:  46647
pomp-4645:  45716
pomp-4649:  39644
mock-IM4p11-2:  39242
pomp-4661:  38348
pomp-4662:  31302
pomp-4673:  31009
pomp-4636:  29909
pomp-4682:  29745
pomp-4587:  28253
pomp-4637:  25738
pomp-4632:  25116
pomp-4676:  23189
pomp-4646:  21400
pomp-4672:  19934
pomp-4638:  18524
pomp-4667:  18396
pomp-4622:  18014
pomp-4633:  15124
pomp-4597:  15009
pomp-4604:  14944
pomp-4590:  14605
pomp-4623:  13610
pomp-4594:  12241
pomp-4631:  11448
pomp-4634:  11295
pomp-4609:  10894
pomp-4589:  10835
pomp-4611:  10794
pomp-4595:  10567
pomp-4639:  10437
pomp-4669:  9851
pomp-4591:  9819
pomp-4642:  9696
pomp-4674:  9378
pomp-4619:  9313
pomp-4625:  9211
pomp-4614:  9091
pomp-4653:  9085
pomp-4659:  8714
pomp-4605:  8671
pomp-4663:  8539
pomp-4629:  8095
pomp-4635:  7575
pomp-4599:  7446
pomp-4596:  7358
pomp-4603:  7220
pomp-4616:  6952
pomp-4679:  6833
pomp-4685:  6165
pomp-4630:  5876
pomp-4651:  5805
pomp-4584:  5721
pomp-4683:  5621
pomp-4628:  5618
pomp-4644:  5605
pomp-4671:  5548
pomp-4621:  5162
pomp-NTCb02:  4905
pomp-4620:  4650
pomp-4652:  4589
pomp-4612:  4495
pomp-4668:  4472
pomp-4648:  4428
pomp-4670:  4426
pomp-NTCc03:  4243
pomp-4678:  3987
pomp-4666:  3797
pomp-4681:  2828
pomp-4680:  2637
pomp-NTCa01:  2543
pomp-4641:  2319
pomp-4627:  1821
pomp-4675:  1751
pomp-4624:  1624
pomp-4650:  1599
pomp-4655:  1584
pomp-4656:  1551
pomp-4613:  1296
pomp-NTCd04:  1101
pomp-4643:  970
pomp-4657:  893
pomp-4654:  762
pomp-4647:  311
pomp-4640:  159
