#OTU ID	mockIM3	mud-9062	mud-9063	mud-9064	mud-9065	mud-9067	mud-9068
OTU2	3	55560	98	40744	4898	218	1
OTU1	8	6617	0	193689	8851	772	1
OTU22	1	2420	172	464	689	128	1
OTU20	1	2069	0	1336	426	0	0
OTU12	4	1775	16292	35021	739	4389	14
OTU21	1	650	0	2513	630	0	1
OTU30	0	637	190	458	14	0	0
OTU18	1	606	2464	571	900	1182	37
OTU31	0	300	594	544	11	0	124
OTU15	1	263	0	62	0	11266	1
OTU44	0	209	0	56	74	0	0
OTU39	0	168	1	195	28	0	0
OTU29	0	126	10	106	185	1068	1
OTU53	0	123	0	31	0	0	0
OTU59	0	122	0	0	0	0	0
OTU56	0	95	0	36	14	0	0
OTU66	0	89	0	0	0	0	0
OTU68	0	83	0	0	0	0	0
OTU70	0	70	0	0	0	0	0
OTU73	0	67	0	0	0	0	0
OTU55	0	61	0	94	86	0	0
OTU34	0	60	366	291	533	96	0
OTU72	0	58	1	11	0	0	0
OTU87	0	44	0	0	0	0	0
OTU88	0	39	0	0	0	0	0
OTU62	0	29	41	0	82	0	0
OTU80	0	29	0	17	1	26	0
OTU99	0	28	0	0	0	0	0
OTU100	0	26	0	0	0	0	0
OTU98	0	25	0	1	4	0	0
OTU101	0	23	0	0	0	0	0
OTU49	0	22	93	6	50	58	1
OTU74	0	21	0	20	20	5	0
OTU86	0	19	1	20	3	0	0
OTU105	1	19	0	0	0	0	0
OTU57	2	12	50	0	0	0	18
OTU120	0	11	0	1	0	0	0
OTU63	0	10	0	0	4	0	96
OTU127	0	8	0	0	0	0	0
OTU132	0	7	0	0	0	0	0
OTU115	0	4	13	0	0	3	0
OTU102	0	3	23	0	0	0	0
OTU142	0	3	0	0	0	0	0
OTU143	0	3	0	0	0	0	0
OTU108	0	2	20	2	0	0	0
OTU89	0	2	10	1	0	36	2
OTU148	0	2	0	0	0	0	0
OTU149	0	2	0	0	0	0	0
MockIM21_pident=97.8_OTU6	109514	1	4	6	5	2	7
OTU93	1	1	0	20	0	0	0
OTU139	0	1	0	3	0	0	0
OTU25	8	0	2494	0	0	0	0
OTU35	0	0	734	0	0	0	0
OTU27	0	0	729	975	38	0	0
OTU47	0	0	303	0	0	0	0
OTU43	93	0	271	1	0	0	0
OTU48	0	0	230	0	15	0	0
OTU37	0	0	128	75	459	0	0
OTU58	0	0	76	52	0	0	0
OTU76	0	0	62	0	0	0	0
OTU77	0	0	32	0	0	30	0
OTU84	0	0	24	34	23	0	0
OTU94	7	0	16	0	0	0	0
OTU113	0	0	14	0	0	0	0
OTU124	0	0	9	0	0	0	0
OTU125	2	0	8	0	0	0	0
OTU109	6	0	7	0	0	0	0
OTU126	3	0	7	0	0	0	0
OTU133	0	0	7	0	0	0	0
OTU134	0	0	7	0	0	0	0
MockIM5_pident=100.0_OTU5	60461	0	4	13	1	7	5
OTU135	0	0	4	0	0	0	0
MockIM39_pident=100.0_OTU8	50474	0	3	3	2	2	3
OTU137	0	0	3	0	0	0	0
OTU144	0	0	3	0	0	0	0
MockIM4_pident=100.0_OTU3	64315	0	2	21	3	8	15
MockIM6_pident=100.0_OTU13	29561	0	2	0	1	1	1
OTU150	0	0	2	0	0	0	0
OTU116	0	0	1	6	7	0	0
MockIM41_pident=97.2_OTU4	62367	0	1	5	5	2	0
MockIM40_pident=100.0_OTU11	37692	0	1	4	4	2	5
OTU136	1	0	1	1	6	0	0
MockIM34_pident=100.0_OTU19	4597	0	1	0	0	0	1
OTU17	0	0	0	6190	0	1	0
OTU23	0	0	0	2869	0	1	0
OTU26	0	0	0	1653	0	1	1
OTU32	0	0	0	432	0	498	42
OTU45	0	0	0	392	161	1	0
OTU41	0	0	0	379	0	0	0
OTU38	0	0	0	244	302	0	0
OTU51	0	0	0	167	0	0	0
OTU65	0	0	0	90	0	0	0
OTU67	0	0	0	86	0	0	0
OTU50	0	0	0	59	114	0	0
OTU78	0	0	0	58	0	0	0
OTU85	0	0	0	46	0	0	0
OTU90	0	0	0	26	12	0	0
OTU81	0	0	0	15	0	38	0
OTU110	0	0	0	15	0	0	0
OTU10	2	0	0	14	412	36396	2648
OTU114	0	0	0	14	0	0	0
OTU106	0	0	0	12	0	0	0
OTU117	0	0	0	11	0	0	0
OTU121	0	0	0	11	0	0	0
OTU122	0	0	0	10	0	0	0
OTU107	0	0	0	9	9	0	0
OTU118	0	0	0	9	0	0	0
OTU128	0	0	0	8	0	0	0
MockIM15_pident=99.4_OTU9	46962	0	0	7	2	5	2
OTU129	0	0	0	7	0	0	0
MockIM46_pident=100.0_OTU7	51665	0	0	6	0	5	3
OTU138	0	0	0	4	0	0	0
OTU111	0	0	0	2	13	0	0
OTU151	0	0	0	2	0	0	0
OTU28	0	0	0	1	1687	49	1
OTU104	0	0	0	1	21	0	0
OTU33	0	0	0	1	0	860	1
OTU46	0	0	0	0	336	0	0
OTU54	0	0	0	0	152	0	0
OTU61	0	0	0	0	149	0	0
OTU95	0	0	0	0	31	0	0
OTU103	0	0	0	0	24	0	0
OTU119	0	0	0	0	12	0	0
OTU123	0	0	0	0	10	0	0
OTU97	0	0	0	0	3	0	16
OTU145	0	0	0	0	3	0	0
OTU24	0	0	0	0	0	2250	217
OTU40	0	0	0	0	0	382	0
OTU64	0	0	0	0	0	186	0
OTU52	0	0	0	0	0	151	4
OTU60	0	0	0	0	0	116	0
OTU79	0	0	0	0	0	59	0
OTU82	0	0	0	0	0	55	0
OTU83	0	0	0	0	0	52	0
OTU92	0	0	0	0	0	34	0
OTU96	0	0	0	0	0	31	0
OTU130	0	0	0	0	0	8	0
MockIM49_pident=100.0_OTU14	21718	0	0	0	0	3	0
OTU131	0	0	0	0	0	3	0
OTU146	0	0	0	0	0	3	0
OTU69	75	0	0	0	0	1	1
OTU36	0	0	0	0	0	0	609
OTU42	0	0	0	0	0	0	373
OTU91	0	0	0	0	0	0	38
OTU112	0	0	0	0	0	0	15
OTU140	0	0	0	0	0	0	4
OTU147	0	0	0	0	0	0	3
OTU71	70	0	0	0	0	0	0
OTU75	63	0	0	0	0	0	0
OTU141	3	0	0	0	0	0	0
