OTUid,BOLDid,NTCreads,NTChits,ALLreads,ALLhits,TRUEhits,TRUEreads,NTChitFrac,NTCreadFrac
OTU1,BOLD:AAD6798,3530,2,364109,118,116,360579,0.0169491525423729,0.00969489905495332
OTU10,BOLD:ACF3057,1079,1,166136,42,41,165057,0.0238095238095238,0.00649467905812106
OTU1097,BOLD:AAN5451,106,2,23423,142,140,23317,0.0140845070422535,0.00452546642189301
OTU11,BOLD:AAG3848,5157,2,427016,97,95,421859,0.0206185567010309,0.0120768308447459
OTU1118,BOLD:AAC6596,31,1,99,13,12,68,0.0769230769230769,0.313131313131313
OTU1130,BOLD:AAN4385,20,2,326,15,13,306,0.133333333333333,0.0613496932515337
OTU115,BOLD:AAA4942,1206,1,11608,40,39,10402,0.025,0.103893866299104
OTU117,BOLD:AAH5449,361,1,14072,18,17,13711,0.0555555555555556,0.0256537805571347
OTU1190,BOLD:AAP2734,2633,2,11888,12,10,9255,0.166666666666667,0.221483849259758
OTU12,BOLD:AAE5173,51497,3,536034,38,35,484537,0.0789473684210526,0.0960703985194969
OTU1210,BOLD:AAF4632,57,1,6933,117,116,6876,0.00854700854700855,0.00822154911293812
OTU1237,BOLD:AAC3269,1,1,77,4,3,76,0.25,0.012987012987013
OTU1244,BOLD:AAN5882,997,2,5051,21,19,4054,0.0952380952380952,0.197386656107701
OTU1265,BOLD:AAF4632,12,1,2143,93,92,2131,0.010752688172043,0.0055996266915539
OTU1292,BOLD:AAN5882,50,3,3270,78,75,3220,0.0384615384615385,0.0152905198776758
OTU1296,BOLD:AAD2334,149,1,1555,44,43,1406,0.0227272727272727,0.0958199356913183
OTU1317,BOLD:AAN5451,36,2,2746,145,143,2710,0.0137931034482759,0.0131099781500364
OTU1318,BOLD:ABV9403,2,1,238,21,20,236,0.0476190476190476,0.00840336134453781
OTU1350,BOLD:AAA7067,34,1,9295,83,82,9261,0.0120481927710843,0.0036578805809575
OTU1351,BOLD:AAB7030,10,1,6220,119,118,6210,0.00840336134453781,0.00160771704180064
OTU1393,BOLD:ACD3689,65,1,177,10,9,112,0.1,0.367231638418079
OTU14,BOLD:AAO3940,18773,2,463720,106,104,444947,0.0188679245283019,0.0404834814111964
OTU1401,BOLD:AAF9008,1,1,318,35,34,317,0.0285714285714286,0.00314465408805031
OTU1403,BOLD:ACV0130,2,1,1113,67,66,1111,0.0149253731343284,0.00179694519317161
OTU1412,BOLD:ADD1431,9,1,2288,8,7,2279,0.125,0.00393356643356643
OTU1426,BOLD:ACF7238,148,1,511,2,1,363,0.5,0.289628180039139
OTU1434,BOLD:AAA7067,90,1,1017,63,62,927,0.0158730158730159,0.0884955752212389
OTU1480,BOLD:AAN5882,10,2,694,58,56,684,0.0344827586206897,0.0144092219020173
OTU149,BOLD:AAH4942,524,1,8074,27,26,7550,0.037037037037037,0.0648996779786971
OTU1497,BOLD:AAI1618,3,1,1590,42,41,1587,0.0238095238095238,0.00188679245283019
OTU1508,BOLD:AAI1618,117,1,409,8,7,292,0.125,0.286063569682152
OTU1554,BOLD:AAP2734,189,3,6967,90,87,6778,0.0333333333333333,0.0271278886177695
OTU16,BOLD:AAA7067,8229,2,226627,109,107,218398,0.018348623853211,0.0363107661487819
OTU1656,BOLD:AAD6798,5,1,509,29,28,504,0.0344827586206897,0.00982318271119843
OTU1683,BOLD:AAF4632,9,1,3022,76,75,3013,0.0131578947368421,0.00297816015883521
