OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads
OTU1,US,0.0026,BOLD:AAD6798,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,318
OTU5,GS,99.4,BOLD:AAN5451,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,72717EgnerPoolB1,879
OTU7,GS,100.0,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,72717EgnerPoolB1,430
OTU9,US,0.7924,BOLD:AAG8502,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,72717EgnerPoolB1,277
OTU11,GS,99.4,BOLD:AAG3848,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex erraticus,72717EgnerPoolB1,745
OTU12,GS,100.0,BOLD:AAE5173,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,PschodididGC,NA,72717EgnerPoolB1,12089
OTU15,GS,100.0,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma ferruginea,72717EgnerPoolB1,253
OTU17,GS,100.0,BOLD:AAB3702,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Potamyia,Potamyia flava,72717EgnerPoolB1,214
OTU23,GS,100.0,BOLD:AAF9008,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Helius,Helius flavipes,72717EgnerPoolB1,843
OTU34,GS,100.0,BOLD:AAM6211,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,NA,72717EgnerPoolB1,1058
OTU35,GS,100.0,BOLD:ABW4215,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Glyptotendipes meridionalis,72717EgnerPoolB1,150
OTU37,GS,100.0,BOLD:AAB0484,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Gypsonoma,Gypsonoma salicicolana,72717EgnerPoolB1,474
OTU61,GS,99.4,BOLD:ABV1681,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lixophaga,NA,72717EgnerPoolB1,4023
OTU75,GS,99.4,BOLD:AAF4974,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,72717EgnerPoolB1,667
OTU88,GS,100.0,BOLD:AAE0434,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Uranotaenia,Uranotaenia sapphirina,72717EgnerPoolB1,28
OTU104,US,0.9963,BOLD:ADC6487,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,4178
