SampleID,CollectionDate,Site.x,Roost.x,RoostDate,Emergence.Count
6212017EGA3,6/21/2017,Egner,A,6/14/2017,0
6212017EGA4,6/21/2017,Egner,A,6/14/2017,0
6212017EGA1,6/21/2017,Egner,A,6/14/2017,0
6212017EGA2,6/21/2017,Egner,A,6/14/2017,0
6212017EGB3,6/21/2017,Egner,B,6/14/2017,63
6212017EGB1,6/21/2017,Egner,B,6/14/2017,63
6212017EGB10,6/21/2017,Egner,B,6/14/2017,63
6212017EGB2,6/21/2017,Egner,B,6/14/2017,63
6212017EGB7,6/21/2017,Egner,B,6/14/2017,63
6212017EGB4,6/21/2017,Egner,B,6/14/2017,63
6212017EGB5,6/21/2017,Egner,B,6/14/2017,63
6212017EGB6,6/21/2017,Egner,B,6/14/2017,63
6212017EGB9,6/21/2017,Egner,B,6/14/2017,63
6212017EGB8,6/21/2017,Egner,B,6/14/2017,63
6212017EGC10,6/21/2017,Egner,C,6/14/2017,37
6212017EGC2,6/21/2017,Egner,C,6/14/2017,37
6212017EGC1,6/21/2017,Egner,C,6/14/2017,37
6212017EGC5,6/21/2017,Egner,C,6/14/2017,37
6212017EgnerPoolC1,6/21/2017,Egner,C,6/14/2017,37
6212017EGC3,6/21/2017,Egner,C,6/14/2017,37
6212017EGC4,6/21/2017,Egner,C,6/14/2017,37
6212017EgnerPoolC4,6/21/2017,Egner,C,6/14/2017,37
6212017EGC9,6/21/2017,Egner,C,6/14/2017,37
6212017EgnerPoolC2,6/21/2017,Egner,C,6/14/2017,37
6212017EgnerPoolC3,6/21/2017,Egner,C,6/14/2017,37
6212017EGC8,6/21/2017,Egner,C,6/14/2017,37
6212017EGC6,6/21/2017,Egner,C,6/14/2017,37
6212017EGC7,6/21/2017,Egner,C,6/14/2017,37
6212017EgnerPoolD1,6/21/2017,Egner,D,6/14/2017,41
6212017EGD4,6/21/2017,Egner,D,6/14/2017,41
6212017EGD5,6/21/2017,Egner,D,6/14/2017,41
6212017EGD6,6/21/2017,Egner,D,6/14/2017,41
6212017EGD7,6/21/2017,Egner,D,6/14/2017,41
6212017EGD8,6/21/2017,Egner,D,6/14/2017,41
6212017EGD9,6/21/2017,Egner,D,6/14/2017,41
6212017EGD1,6/21/2017,Egner,D,6/14/2017,41
6212017EgnerPoolD2,6/21/2017,Egner,D,6/14/2017,41
6212017EgnerPoolD3,6/21/2017,Egner,D,6/14/2017,41
