OTU_ID	72717EgnerPoolB1	72717EgnerPoolB2	72717EgnerPoolB3	72717EgnerPoolB4	72717HBPoolB1	72717HBPoolB2	72717HBPoolB3	72717HBPoolB4	72717HBPoolC1	72717HBPoolC2	72717HBPoolC3	72717HBPoolC4	91517HBPoolD1	91517HBPoolD2	91517HBPoolD3	91517HBPoolD4	6212017EGA1	6212017EGA2	6212017EGA3	6212017EGA4	6212017EGB1	6212017EGB2	6212017EGB3	6212017EGB4	6212017EGB5	6212017EGB6	6212017EGB7	6212017EGB8	6212017EGB9	6212017EGB10	6212017EGC1	6212017EGC2	6212017EGC3	6212017EGC4	6212017EGC5	6212017EGC6	6212017EGC7	6212017EGC8	6212017EGC9	6212017EGC10	6212017EGD1	6212017EGD2	6212017EGD3	6212017EGD4	6212017EGD5	6212017EGD6	6212017EGD7	6212017EGD8	6212017EGD9	6212017EGD10	6212017EgnerPoolC1	6212017EgnerPoolC2	6212017EgnerPoolC3	6212017EgnerPoolC4	6212017EgnerPoolD1	6212017EgnerPoolD2	6212017EgnerPoolD3	6212017EgnerPoolD4	6212017HBA1	6212017HBA2	6212017HBA3	6212017HBA4	6212017HBA5	6212017HBA6	6212017HBA7	6212017HBA8	6212017HBA9	6212017HBA10	6212017HBB1	6212017HBB2	6212017HBB3	6212017HBB4	6212017HBB5	6212017HBB6	6212017HBB7	6212017HBB8	6212017HBB9	6212017HBB10	6212017HBC1	6212017HBC2	6212017HBC3	6212017HBC4	6212017HBC5	6212017HBC6	6212017HBC7	6212017HBC8	6212017HBC9	6212017HBC10	6212017HBD1	6212017HBD2	6212017HBD3	6212017HBD4	6212017HBD5	6212017HBD6	6212017HBD7	6212017HBD8	6212017HBD9	6212017HBD10	6212017HBPoolA1	6212017HBPoolA2	6212017HBPoolA3	6212017HBPoolA4	6212017HBPoolB1	6212017HBPoolB2	6212017HBPoolB3	6212017HBPoolB4	6212017HBPoolC1	6212017HBPoolC2	6212017HBPoolC3	6212017HBPoolC4	6212017HBPoolD1	6212017HBPoolD2	6212017HBPoolD3	6212017HBPoolD4	7272017EGA1	7272017EGA2	7272017EGA3	7272017EGA4	7272017EGA5	7272017EGB1	7272017EGB2	7272017EGB3	7272017EGB4	7272017EGB5	7272017EGB6	7272017EGB7	7272017EGB8	7272017EGB9	7272017EGB10	7272017EGC1	7272017EGC2	7272017EGC3	7272017EGC4	7272017EGC5	7272017EGC6	7272017EGC7	7272017EGC8	7272017EGC9	7272017EGC10	7272017EGD1	7272017EGD2	7272017EGD3	7272017EGD4	7272017EGD5	7272017EGD6	7272017EGD7	7272017EGD8	7272017EGD9	7272017EGD10	7272017EgnerPoolC1	7272017EgnerPoolC2	7272017EgnerPoolC3	7272017EgnerPoolC4	7272017EgnerPoolD1	7272017EgnerPoolD2	7272017EgnerPoolD3	7272017EgnerPoolD4	7272017HBA1	7272017HBA2	7272017HBA3	7272017HBA4	7272017HBA5	7272017HBA6	7272017HBA7	7272017HBA8	7272017HBA9	7272017HBA10	7272017HBB1	7272017HBB2	7272017HBB3	7272017HBB4	7272017HBB5	7272017HBB6	7272017HBB7	7272017HBB8	7272017HBB9	7272017HBB10	7272017HBC1	7272017HBC2	7272017HBC3	7272017HBC4	7272017HBC5	7272017HBC6	7272017HBC9	7272017HBC10	7272017HBD1	7272017HBD2	7272017HBD3	7272017HBD4	7272017HBD5	7272017HBD6	7272017HBD7	7272017HBD8	7272017HBD9	7272017HBD10	7272017HBPoolA1	7272017HBPoolA2	7272017HBPoolA3	7272017HBPoolA4	7272017HBPoolD1	7272017HBPoolD2	7272017HBPoolD3	7272017HBPoolD4	9152017EGA1	9152017EGA2	9152017EGA3	9152017EGA4	9152017EGA5	9152017EGA6	9152017EGA7	9152017EGB5	9152017EGB6	9152017EGB7	9152017EGB8	9152017EGB9	9152017EGB10	9152017EGC1	9152017EGC2	9152017EGC3	9152017EGC4	9152017EGC5	9152017EGC6	9152017EGC7	9152017EGC8	9152017EGC9	9152017EGC10	9152017EGD5	9152017EGD6	9152017EGD7	9152017EGD9	9152017EGD10	9152017EgnerB1	9152017EgnerB2	9152017EgnerB3	9152017EgnerB4	9152017EgnerD1	9152017EgnerD2	9152017EgnerD3	9152017EgnerD4	9152017EgnerPoolB1	9152017EgnerPoolB2	9152017EgnerPoolB3	9152017EgnerPoolB4	9152017EgnerPoolC1	9152017EgnerPoolC2	9152017EgnerPoolC3	9152017EgnerPoolC4	9152017EgnerPoolD1	9152017EgnerPoolD2	9152017EgnerPoolD3	9152017EgnerPoolD4	9152017HBA1	9152017HBA2	9152017HBA3	9152017HBA4	9152017HBA5	9152017HBA6	9152017HBA7	9152017HBA8	9152017HBA9	9152017HBA10	9152017HBB1	9152017HBB2	9152017HBB3	9152017HBB4	9152017HBB5	9152017HBB6	9152017HBB7	9152017HBB8	9152017HBB9	9152017HBB10	9152017HBD1	9152017HBD2	9152017HBD3	9152017HBD4	9152017HBD5	9152017HBD6	9152017HBD7	9152017HBD8	9152017HBD9	9152017HBD10	9152017HBPoolA1	9152017HBPoolA2	9152017HBPoolA3	9152017HBPoolA4	9152017HBPoolB1	9152017HBPoolB2	9152017HBPoolB3	9152017HBPoolB4	ExtractionNTC1S1	ExtractionNTC2S10	ExtractionNTC3S19	ExtractionNTC4S28	ExtractionNTC7S55	ExtractionNTC8S64	ExtractionNTC11S115	ExtractionNTC15S151	blankS39	Taxonomy
OTU1	318	0	0	236	1702	972	1708	1211	266	0	0	0	0	152	0	0	2658	0	251	0	221	524	0	0	0	0	171	3837	820	847	429	1054	286	1498	13610	157	300	2397	803	270	433	8600	575	466	0	749	569	0	325	156	6030	8352	19422	7054	1850	937	1334	879	0	357	0	213	0	0	272	415	0	0	0	0	0	0	229	177	0	0	0	1608	0	0	1591	939	0	8296	162	0	0	0	1120	0	0	183	170	0	194	155	0	0	0	1253	0	0	0	0	0	0	0	283	0	0	0	0	0	154	0	0	0	2101	0	0	5293	0	0	0	0	0	0	11087	0	0	0	2618	0	0	0	0	0	0	0	2118	337	0	0	0	0	0	0	0	0	0	1115	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	487	14110	11598	2775	18183	29893	15103	15842	1564	19410	0	0	1204	0	4799	398	0	0	0	0	0	0	563	1620	0	0	0	0	0	0	0	0	358	466	4532	783	819	0	0	0	837	0	3179	0	0	329	6323	425	6750	0	0	2702	224	4794	663	0	0	3457	9360	0	966	0	0	180	0	1281	262	2318	0	0	0	0	0	0	0	0	0	839	0	0	0	0	0	0	0	0	0	0	9401	0	0	349	0	0	0	7794	0	0	582	2267	0	11681	0	0	548	0	0	0	0	0	0	882	568	0	0	0	0	0	0	0	0	0	771	0	0	2759	0	0	0	0	0	US|0.0026|BOLD:AAD6798.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2	0	0	0	0	0	0	0	0	0	0	0	0	1313	2088	4856	6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11407	0	0	0	0	0	0	0	0	0	0	0	0	40928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	641	853	0	0	0	0	268	786	238	856	626	1632	0	455	0	1335	0	207	14595	1082	0	0	0	0	0	5278	17414	0	0	0	0	0	661	0	0	0	0	0	0	0	0	0	0	0	0	22661	9641	7852	951	0	1129	2354	12132	338	253	0	13426	1635	0	1082	269	0	0	0	16126	243	4815	0	2075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1667	0	0	0	GS|100.0|BOLD:AAH3225.1;k:Animalia,p:Arthropoda,c:Insecta,o:Psocodea,f:Psocidae,g:Metylophorus,s:Metylophorus novaescotiae
OTU3	0	0	0	0	9468	5140	10561	8735	1397	1193	0	0	1526	2303	428	581	0	0	815	13954	474	0	0	0	0	0	0	0	0	0	0	0	0	0	588	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	412	0	0	0	0	0	0	0	0	0	450	11146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	508	619	1602	1794	1351	2404	0	0	0	0	889	0	0	0	0	795	0	1279	4570	1701	0	431	1092	0	713	0	0	0	0	0	0	0	0	0	0	0	17878	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	21772	0	0	0	0	0	0	14336	0	0	0	2357	0	0	0	0	0	23854	0	0	0	0	0	68990	0	0	0	0	0	0	0	0	0	0	24146	1400	2188	2302	1673	0	807	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4487	1953	6112	2082	0	0	1602	0	4357	2883	5371	3263	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	543	0	0	26945	0	0	15989	0	0	0	20002	76242	0	0	0	5093	5464	5966	4113	1997	3395	3287	3309	0	0	0	0	19411	1735	0	0	10063	GS|100.0|BOLD:AAP2734.4;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Erioptera,s:Erioptera parva
OTU4	0	0	0	0	0	0	0	0	0	0	0	0	1384	1416	784	1097	0	0	0	0	0	0	266	0	9603	28755	10794	605	0	0	254	0	0	0	293	0	682	4093	0	0	0	0	0	0	0	0	0	0	2633	366	0	0	0	0	0	0	0	0	4536	0	0	0	0	213	0	0	0	2566	0	262	0	0	0	0	0	0	0	0	11308	0	0	0	0	0	0	0	12946	0	395	217	3178	3962	0	9713	0	0	0	14626	988	0	0	0	0	0	0	425	3093	4636	2142	3989	11712	11272	8837	11346	837	2259	33802	6296	1333	1076	0	0	726	643	5535	949	1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19954	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	868	3330	0	0	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	0	1667	2010	2906	2643	0	0	0	0	29198	0	0	0	0	0	0	0	0	0	0	0	311	0	809	0	966	0	0	0	3505	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	4451	2855	6705	2513	1642	0	215	3866	0	0	0	0	0	0	0	0	0	0	40890	0	0	0	0	3192	0	470	0	0	636	0	0	0	0	264	30789	0	0	395	0	0	0	0	1378	1364	1576	1239	4269	8923	9763	10355	518	0	6447	0	0	4904	0	0	2128	GS|100.0|BOLD:AAN5882.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Erioptera,s:Erioptera caliptera
OTU5	879	877	1087	2196	0	0	332	0	1101	1714	1291	1711	1656	2436	3640	4615	16067	220	0	9150	30649	10418	240	781	2291	364	5559	6743	16093	4969	17364	27349	9606	13331	2932	6223	7126	3904	12392	1502	16205	23679	8862	6632	3958	2629	6131	847	4717	16594	0	172	769	504	989	2812	4156	4391	717	2938	5139	711	1833	584	7593	1474	9358	0	0	5766	0	0	861	0	2525	0	0	11451	0	0	2147	0	11478	1023	6402	0	0	0	6896	0	1014	680	12598	0	9280	0	332	0	4734	3918	2777	3211	633	2484	2355	5611	0	338	0	0	0	0	0	0	1524	0	0	1004	1666	3671	4445	1049	3145	484	5025	1730	283	2238	7603	0	0	995	0	335	0	0	0	1337	571	0	584	271	0	0	3276	1711	1838	0	1420	562	0	1078	0	541	0	0	0	0	0	406	0	969	0	0	5320	0	30140	634	0	5548	0	0	0	5659	888	0	9352	615	5047	1000	0	7200	13412	33573	0	639	1629	0	4015	8110	1209	398	0	691	0	403	726	617	0	1691	2106	2686	1581	0	0	19499	0	0	0	412	2913	0	6442	1551	0	33247	0	2416	0	0	2894	0	1371	0	2840	12830	0	9717	14842	33703	17946	0	0	0	4901	0	13204	14005	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2965	972	0	0	0	0	0	0	0	5271	0	3124	0	0	0	478	1927	0	0	234	6211	9101	287	0	0	0	0	0	0	0	0	0	645	0	0	2960	0	1892	0	0	0	GS|99.4|BOLD:AAN5451.1;k:Animalia,p:Arthropoda,c:Arachnida,o:Araneae,f:Araneidae,g:Eustala
OTU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	2077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56163	648	2779	3582	0	0	15771	0	26125	0	0	25742	0	0	0	15765	1337	0	2497	0	0	0	0	22536	11286	9934	0	0	0	26140	13122	34727	12522	14626	22353	23019	22725	0	0	291	0	0	0	0	0	0	0	0	0	0	0	0	3760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1782	3650	3254	1794	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:ACZ2169.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Cicadellidae,g:Gyponana
OTU7	430	0	608	0	2388	1450	1589	861	1096	1408	875	0	0	0	499	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1955	0	3470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	1089	3811	0	0	0	0	0	396	0	0	646	0	0	0	0	10069	0	0	0	829	0	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	2971	0	5408	0	0	0	0	0	1705	1567	1161	1500	0	0	0	0	0	0	0	4941	0	480	0	1103	2635	2161	0	0	0	1185	723	0	1322	0	0	427	0	0	0	1449	0	6268	0	0	1008	0	1729	2559	15690	4338	1164	571	2573	0	950	348	0	519	415	1008	0	1250	0	10539	0	61462	0	1475	0	3706	6972	0	453	3487	0	1168	727	0	5141	0	0	1233	5464	1029	310	11900	0	0	0	0	1486	7286	1663	0	25652	1470	0	0	604	847	1193	0	1698	3043	636	0	0	1113	0	658	0	778	0	0	7647	3957	0	22052	0	1573	0	0	1618	0	1113	0	3188	0	19505	0	0	0	0	1291	320	367	0	4547	0	388	0	0	0	0	0	0	0	0	888	0	0	0	0	0	0	0	0	0	0	2623	11827	1624	0	1116	3138	0	9242	0	0	0	546	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12019	0	0	0	0	0	0	0	GS|100.0|BOLD:AAF4632.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Epiphragma,s:Epiphragma solatrix
OTU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2638	859	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	23572	0	0	0	0	0	0	0	0	0	0	10158	12483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1961	1578	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	328	436	748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31253	9177	0	0	0	245	0	0	682	GS|100.0|BOLD:AAN4385.2;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae,g:Rhipidia
OTU9	277	0	0	0	222	0	1078	649	0	252	0	0	571	393	0	0	0	0	0	0	0	0	1111	5860	404	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	362	0	0	0	0	0	0	0	0	405	204	0	0	0	0	0	0	565	0	0	0	0	0	297	0	0	0	0	0	260	0	0	0	0	0	0	0	0	351	0	0	0	16729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	375	271	351	252	237	417	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36471	0	502	0	0	0	0	0	1967	1206	3282	1226	1375	1901	4943	3856	12417	10692	15601	17018	0	0	0	24495	0	210	0	0	237	0	0	0	0	0	0	0	0	0	0	0	5764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6381	0	2459	0	0	709	US|0.7924|BOLD:AAG8502.1;k:Animalia,p:Arthropoda,c:Insecta
OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8825	0	0	0	0	0	0	0	0	0	0	2734	0	0	0	0	890	0	0	1396	226	0	0	500	0	0	8819	427	0	1898	0	1239	0	3549	137	316	601	273	6928	12543	8412	7670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3716	166	725	0	825	1246	0	441	0	0	159	327	162	0	7797	0	0	0	10308	9255	26111	13794	4770	3962	2816	8214	607	877	520	876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1079	0	0	0	0	0	0	0	0	GS|100.0|BOLD:ACF3057.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Tineidae,g:Acrolophus,s:Acrolophus mortipennella
