SampleID,OTUid,OTU_identifier,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Site,Date,BatTagID,BatSpecies,Sex
nau.7001,OTU50,BOLD:AAA3461,Animalia,Arthropoda,Insecta,Lepidoptera,Cosmopterigidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU104,BOLD:AAA4032,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU44,BOLD:AAA8220,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Obrima,Obrima pyraloides,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU196,BOLD:AAB7737,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Donacaula,Donacaula melinella CS,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU40,BOLD:AAC1306,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Toxonprucha,Toxonprucha scitior,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU296,BOLD:AAC9531,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes cantator,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU170,BOLD:AAH0136,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga anxia,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU12,BOLD:AAH5510,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Setomorpha,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU194,BOLD:AAI1345,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia (Idiopyga) halterella,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU273,BOLD:AAI3614,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,Odontomyia cincta,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU181,BOLD:AAO8357,Animalia,Arthropoda,Insecta,Hemiptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU218,BOLD:AAR9607,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Photedes,Photedes enervata,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU31,BOLD:AAW0548,Animalia,Arthropoda,Insecta,Diptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU1,BOLD:AAW6052,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7001,OTU33,BOLD:AAY5064,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
