Site,Date,BatSpecies,Sex,ArthropodFamily,RelativeCounts
ESCAMAQUITA,6/2/16,EPFUR,M,Blastobasidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Crambidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Culicidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Erebidae,3
ESCAMAQUITA,6/2/16,EPFUR,M,Euteliidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Noctuidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,Tineidae,1
ESCAMAQUITA,6/2/16,EPFUR,M,unknown,1
ESCAMAQUITA,6/2/16,MOSI,F,Erebidae,4
ESCAMAQUITA,6/2/16,MOSI,F,Euteliidae,1
ESCAMAQUITA,6/2/16,MOSI,F,unknown,1
ESCAMAQUITA,6/2/16,PTGY,F,Crambidae,2
ESCAMAQUITA,6/2/16,PTGY,F,Erebidae,7
ESCAMAQUITA,6/2/16,PTGY,F,Euteliidae,2
ESCAMAQUITA,6/2/16,PTGY,F,Geometridae,2
ESCAMAQUITA,6/2/16,PTGY,F,Noctuidae,4
ESCAMAQUITA,6/2/16,PTPA,F,Braconidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Euteliidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Tineidae,1
ESCAMAQUITA,6/2/16,PTPA,F,Tortricidae,1
ESCAMAQUITA,6/2/16,PTPA,F,unknown,2
ESCAMAQUITA,6/2/16,PTPA,M,Depressariidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Erebidae,5
ESCAMAQUITA,6/2/16,PTPA,M,Euteliidae,4
ESCAMAQUITA,6/2/16,PTPA,M,Gelechiidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Geometridae,1
ESCAMAQUITA,6/2/16,PTPA,M,Noctuidae,2
ESCAMAQUITA,6/2/16,PTPA,M,Sphingidae,5
ESCAMAQUITA,6/2/16,PTPA,M,Tineidae,9
ESCAMAQUITA,6/2/16,PTPA,M,unknown,4
ESCAMAQUITA,6/2/16,RHBI,F,Blastobasidae,2
ESCAMAQUITA,6/2/16,RHBI,F,Coleophoridae,1
ESCAMAQUITA,6/2/16,RHBI,F,Cosmopterigidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Culicidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Depressariidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Erebidae,1
ESCAMAQUITA,6/2/16,RHBI,F,Gelechiidae,1
ESCAMAQUITA,6/2/16,RHBI,F,unknown,11
ESCAMAQUITA,6/2/16,STPA,F,Erebidae,1
ESCAMAQUITA,6/2/16,STPA,F,Euteliidae,1
ESCAMAQUITA,6/2/16,STPA,F,Tineidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Cosmopterigidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Crambidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Erebidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Noctuidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Tineidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,unknown,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,Chrysomelidae,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,unknown,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Crambidae,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Noctuidae,1
