Site,Date,BatSpecies,Sex,ArthropodOrder,RelativeCounts
ESCAMAQUITA,6/2/16,EPFUR,M,Coleoptera,1
ESCAMAQUITA,6/2/16,EPFUR,M,Diptera,1
ESCAMAQUITA,6/2/16,EPFUR,M,Lepidoptera,8
ESCAMAQUITA,6/2/16,MOSI,F,Coleoptera,1
ESCAMAQUITA,6/2/16,MOSI,F,Lepidoptera,5
ESCAMAQUITA,6/2/16,PTGY,F,Lepidoptera,17
ESCAMAQUITA,6/2/16,PTPA,F,Blattodea,1
ESCAMAQUITA,6/2/16,PTPA,F,Diptera,1
ESCAMAQUITA,6/2/16,PTPA,F,Hymenoptera,1
ESCAMAQUITA,6/2/16,PTPA,F,Lepidoptera,3
ESCAMAQUITA,6/2/16,PTPA,M,Blattodea,1
ESCAMAQUITA,6/2/16,PTPA,M,Isoptera,1
ESCAMAQUITA,6/2/16,PTPA,M,Lepidoptera,32
ESCAMAQUITA,6/2/16,RHBI,F,Coleoptera,7
ESCAMAQUITA,6/2/16,RHBI,F,Diptera,1
ESCAMAQUITA,6/2/16,RHBI,F,Lepidoptera,11
ESCAMAQUITA,6/2/16,STPA,F,Lepidoptera,3
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Diptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,LABL,F,Lepidoptera,7
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,Coleoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,Isoptera,3
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,MOPR,F,Lepidoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Coleoptera,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,NOLE,F,Lepidoptera,7
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTGY,M,Isoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTGY,M,Lepidoptera,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Blattodea,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Coleoptera,4
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Diptera,5
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Hemiptera,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Isoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,F,Lepidoptera,21
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Isoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPA,M,Lepidoptera,9
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Diptera,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Isoptera,2
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,F,Lepidoptera,6
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Diptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Hemiptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Isoptera,1
ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,PTPE,M,Lepidoptera,4
FINCA_GUADELUPE,6/4/15,PHST,F,Hymenoptera,3
FINCA_GUADELUPE,6/4/16,STPA,F,Hemiptera,1
FINCA_GUADELUPE,6/4/16,STPA,F,Lepidoptera,1
NEW_MEXICO,noRecord,EUMA,noRecord,Diptera,1
NEW_MEXICO,noRecord,EUMA,noRecord,Lepidoptera,8
NICARAGUA,5/20/15,EPFUR,noRecord,Blattodea,1
NICARAGUA,5/20/15,EPFUR,noRecord,Coleoptera,11
NICARAGUA,5/20/15,EPFUR,noRecord,Hemiptera,3
NICARAGUA,5/20/15,EPFUR,noRecord,Lepidoptera,6
NICARAGUA,5/20/15,PHDI,noRecord,Coleoptera,2
NICARAGUA,5/20/15,PHDI,noRecord,Diptera,1
NICARAGUA,5/20/15,PHDI,noRecord,Hemiptera,1
NICARAGUA,5/20/15,PHDI,noRecord,Lepidoptera,2
NICARAGUA,5/31/15,CAPE,M,Coleoptera,3
NICARAGUA,5/31/15,CAPE,M,Diptera,1
NICARAGUA,5/31/15,CAPE,M,Hemiptera,1
NICARAGUA,5/31/15,CAPE,M,Lepidoptera,3
NICARAGUA,5/31/15,EPBR?,F,Blattodea,1
NICARAGUA,5/31/15,EPBR?,F,Coleoptera,2
NICARAGUA,5/31/15,EPBR?,F,Diptera,5
NICARAGUA,5/31/15,EPBR?,F,Hemiptera,1
NICARAGUA,5/31/15,EPBR?,F,Lepidoptera,8
NICARAGUA,5/31/15,EPFUR,F,Blattodea,2
NICARAGUA,5/31/15,EPFUR,F,Coleoptera,7
NICARAGUA,5/31/15,EPFUR,F,Lepidoptera,1
NICARAGUA,5/31/15,EUGL,F,Lepidoptera,5
NICARAGUA,5/31/15,EUUN,F,Coleoptera,1
NICARAGUA,5/31/15,EUUN,F,Hemiptera,2
NICARAGUA,5/31/15,LAEG,F,Hemiptera,1
NICARAGUA,5/31/15,LAEG,F,Lepidoptera,6
NICARAGUA,5/31/15,MOMO,F,Hemiptera,1
NICARAGUA,5/31/15,MOPR,F,Diptera,1
NICARAGUA,5/31/15,MOPR,F,Hemiptera,3
NICARAGUA,5/31/15,NOLE,F,Coleoptera,1
NICARAGUA,5/31/15,NOLE,F,Hemiptera,1
NICARAGUA,5/31/15,NOLE,F,Lepidoptera,2
NICARAGUA,5/31/15,RHDU,F,Coleoptera,1
NICARAGUA,5/31/15,RHDU,F,Diptera,1
NICARAGUA,5/31/15,RHDU,F,Lepidoptera,6
SARDINA,6/1/16,CAPE,F,Coleoptera,1
SARDINA,6/1/16,CAPE,F,Lepidoptera,4
SARDINA,6/1/16,MYNI,F,Ephemeroptera,1
SARDINA,6/1/16,MYNI,F,Lepidoptera,4
SARDINA,6/1/16,MYNI,noRecord,Lepidoptera,1
SARDINA,6/1/16,NOAL,F,Coleoptera,1
SARDINA,6/1/16,NOAL,F,Diptera,1
SARDINA,6/1/16,NOAL,F,Isoptera,1
SARDINA,6/1/16,NOAL,F,Lepidoptera,1
SARDINA,6/1/16,NOAL,F,Orthoptera,1
SARDINA,6/1/16,RHBI,F,Blattodea,1
SARDINA,6/1/16,RHBI,F,Hymenoptera,1
SARDINA,6/1/16,RHNA,F,Diptera,2
SARDINA,6/1/16,RHNA,F,Hymenoptera,1
SARDINA,6/1/16,RHNA,F,Lepidoptera,3
SARDINA,6/1/16,TRCI,F,Coleoptera,1
SARDINA,6/1/16,TRCI,F,Diptera,1
SARDINA,6/1/16,TRCI,F,Entomobryomorpha,1
SARDINA,6/1/16,TRCI,F,Hemiptera,1
SARDINA,6/1/16,TRCI,F,Lepidoptera,4
SARDINA,6/1/16,TRCI,F,Trombidiformes,1
