BatSpecies,ArthropodFamily,RelativeCounts,TotalCounts,percent_taxa
CAPE,Blastobasidae,1,13,7.69230769230769
CAPE,Carabidae,1,13,7.69230769230769
CAPE,Coleophoridae,1,13,7.69230769230769
CAPE,Crambidae,1,13,7.69230769230769
CAPE,Erebidae,1,13,7.69230769230769
CAPE,Noctuidae,1,13,7.69230769230769
CAPE,Scarabaeidae,1,13,7.69230769230769
CAPE,Tineidae,1,13,7.69230769230769
CAPE,unknown,4,13,30.7692307692308
CAPE,Ypsolophidae,1,13,7.69230769230769
EPBR?,Blastobasidae,2,17,11.7647058823529
EPBR?,Carabidae,1,17,5.88235294117647
EPBR?,Coleophoridae,1,17,5.88235294117647
EPBR?,Crambidae,1,17,5.88235294117647
EPBR?,Depressariidae,1,17,5.88235294117647
EPBR?,Erebidae,1,17,5.88235294117647
EPBR?,Limoniidae,4,17,23.5294117647059
EPBR?,unknown,6,17,35.2941176470588
EPFUR,Blaberidae,1,41,2.4390243902439
EPFUR,Blastobasidae,2,41,4.8780487804878
EPFUR,Cicadidae,1,41,2.4390243902439
EPFUR,Crambidae,1,41,2.4390243902439
EPFUR,Culicidae,1,41,2.4390243902439
EPFUR,Erebidae,7,41,17.0731707317073
EPFUR,Euteliidae,1,41,2.4390243902439
EPFUR,Gelechiidae,1,41,2.4390243902439
EPFUR,Noctuidae,1,41,2.4390243902439
EPFUR,Tineidae,1,41,2.4390243902439
EPFUR,unknown,24,41,58.5365853658537
EUGL,Crambidae,1,5,20
EUGL,Erebidae,4,5,80
EUMA,Erebidae,1,9,11.1111111111111
EUMA,Noctuidae,4,9,44.4444444444444
EUMA,Tachinidae,1,9,11.1111111111111
EUMA,Tineidae,2,9,22.2222222222222
EUMA,unknown,1,9,11.1111111111111
EUUN,Carabidae,1,3,33.3333333333333
EUUN,unknown,2,3,66.6666666666667
LABL,Cosmopterigidae,1,8,12.5
LABL,Crambidae,1,8,12.5
LABL,Erebidae,1,8,12.5
LABL,Noctuidae,2,8,25
LABL,Tineidae,2,8,25
LABL,unknown,1,8,12.5
LAEG,Blastobasidae,1,7,14.2857142857143
LAEG,Erebidae,3,7,42.8571428571429
LAEG,Noctuidae,2,7,28.5714285714286
LAEG,unknown,1,7,14.2857142857143
MOMO,unknown,1,1,100
MOPR,Chironomidae,1,9,11.1111111111111
MOPR,Chrysomelidae,1,9,11.1111111111111
MOPR,unknown,7,9,77.7777777777778
MOSI,Erebidae,4,6,66.6666666666667
MOSI,Euteliidae,1,6,16.6666666666667
MOSI,unknown,1,6,16.6666666666667
MYNI,Autostichidae,1,6,16.6666666666667
MYNI,Noctuidae,1,6,16.6666666666667
MYNI,unknown,4,6,66.6666666666667
NOAL,Chironomidae,1,5,20
NOAL,unknown,4,5,80
NOLE,Crambidae,2,13,15.3846153846154
NOLE,Euteliidae,1,13,7.69230769230769
NOLE,Noctuidae,1,13,7.69230769230769
NOLE,Tineidae,5,13,38.4615384615385
NOLE,unknown,4,13,30.7692307692308
PHDI,Cicadidae,1,6,16.6666666666667
PHDI,Erebidae,2,6,33.3333333333333
PHDI,Limoniidae,1,6,16.6666666666667
PHDI,unknown,2,6,33.3333333333333
PHST,unknown,3,3,100
