Site,ArthropodFamily,RelativeCounts,TotalCounts,percent_taxa
ESCAMAQUITA,Blastobasidae,3,95,3.15789473684211
ESCAMAQUITA,Braconidae,1,95,1.05263157894737
ESCAMAQUITA,Coleophoridae,1,95,1.05263157894737
ESCAMAQUITA,Cosmopterigidae,1,95,1.05263157894737
ESCAMAQUITA,Crambidae,3,95,3.15789473684211
ESCAMAQUITA,Culicidae,2,95,2.10526315789474
ESCAMAQUITA,Depressariidae,3,95,3.15789473684211
ESCAMAQUITA,Erebidae,21,95,22.1052631578947
ESCAMAQUITA,Euteliidae,10,95,10.5263157894737
ESCAMAQUITA,Gelechiidae,3,95,3.15789473684211
ESCAMAQUITA,Geometridae,3,95,3.15789473684211
ESCAMAQUITA,Noctuidae,7,95,7.36842105263158
ESCAMAQUITA,Sphingidae,5,95,5.26315789473684
ESCAMAQUITA,Tineidae,12,95,12.6315789473684
ESCAMAQUITA,Tortricidae,1,95,1.05263157894737
ESCAMAQUITA,unknown,19,95,20
ESCAMECCA_GRANDE_HOT_SPRINGS,Blastobasidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Chironomidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Chrysomelidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Cosmopterigidae,2,88,2.27272727272727
ESCAMECCA_GRANDE_HOT_SPRINGS,Crambidae,7,88,7.95454545454545
ESCAMECCA_GRANDE_HOT_SPRINGS,Culicidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Depressariidae,2,88,2.27272727272727
ESCAMECCA_GRANDE_HOT_SPRINGS,Erebidae,10,88,11.3636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Euteliidae,2,88,2.27272727272727
ESCAMECCA_GRANDE_HOT_SPRINGS,Gelechiidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Geometridae,4,88,4.54545454545455
ESCAMECCA_GRANDE_HOT_SPRINGS,Limacodidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Limoniidae,3,88,3.40909090909091
ESCAMECCA_GRANDE_HOT_SPRINGS,Noctuidae,7,88,7.95454545454545
ESCAMECCA_GRANDE_HOT_SPRINGS,Pyralidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Scarabaeidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Stratiomyidae,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Tineidae,16,88,18.1818181818182
ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,26,88,29.5454545454545
FINCA_GUADELUPE,Euteliidae,1,5,20
FINCA_GUADELUPE,unknown,4,5,80
NEW_MEXICO,Erebidae,1,9,11.1111111111111
NEW_MEXICO,Noctuidae,4,9,44.4444444444444
NEW_MEXICO,Tachinidae,1,9,11.1111111111111
NEW_MEXICO,Tineidae,2,9,22.2222222222222
NEW_MEXICO,unknown,1,9,11.1111111111111
NICARAGUA,Blaberidae,1,94,1.06382978723404
NICARAGUA,Blastobasidae,5,94,5.31914893617021
NICARAGUA,Carabidae,3,94,3.19148936170213
NICARAGUA,Chironomidae,1,94,1.06382978723404
NICARAGUA,Cicadidae,2,94,2.12765957446809
NICARAGUA,Coleophoridae,1,94,1.06382978723404
NICARAGUA,Crambidae,2,94,2.12765957446809
NICARAGUA,Depressariidae,2,94,2.12765957446809
NICARAGUA,Erebidae,15,94,15.9574468085106
NICARAGUA,Euteliidae,1,94,1.06382978723404
NICARAGUA,Gelechiidae,1,94,1.06382978723404
NICARAGUA,Limoniidae,5,94,5.31914893617021
NICARAGUA,Muscidae,1,94,1.06382978723404
NICARAGUA,Noctuidae,3,94,3.19148936170213
NICARAGUA,Tineidae,3,94,3.19148936170213
NICARAGUA,unknown,47,94,50
NICARAGUA,Ypsolophidae,1,94,1.06382978723404
SARDINA,Autostichidae,1,33,3.03030303030303
SARDINA,Blastobasidae,1,33,3.03030303030303
SARDINA,Chironomidae,2,33,6.06060606060606
SARDINA,Cicadidae,1,33,3.03030303030303
SARDINA,Coleophoridae,1,33,3.03030303030303
SARDINA,Cosmopterigidae,1,33,3.03030303030303
SARDINA,Crambidae,2,33,6.06060606060606
SARDINA,Depressariidae,1,33,3.03030303030303
SARDINA,Erebidae,2,33,6.06060606060606
SARDINA,Euteliidae,1,33,3.03030303030303
SARDINA,Formicidae,1,33,3.03030303030303
SARDINA,Noctuidae,1,33,3.03030303030303
SARDINA,Scarabaeidae,1,33,3.03030303030303
SARDINA,Tineidae,1,33,3.03030303030303
SARDINA,unknown,16,33,48.4848484848485
