Site,ArthropodOrder,RelativeCounts,TotalCounts,percent_taxa
ESCAMAQUITA,Blattodea,2,95,2.10526315789474
ESCAMAQUITA,Coleoptera,9,95,9.47368421052632
ESCAMAQUITA,Diptera,3,95,3.15789473684211
ESCAMAQUITA,Hymenoptera,1,95,1.05263157894737
ESCAMAQUITA,Isoptera,1,95,1.05263157894737
ESCAMAQUITA,Lepidoptera,79,95,83.1578947368421
ESCAMECCA_GRANDE_HOT_SPRINGS,Blattodea,1,88,1.13636363636364
ESCAMECCA_GRANDE_HOT_SPRINGS,Coleoptera,7,88,7.95454545454545
ESCAMECCA_GRANDE_HOT_SPRINGS,Diptera,9,88,10.2272727272727
ESCAMECCA_GRANDE_HOT_SPRINGS,Hemiptera,3,88,3.40909090909091
ESCAMECCA_GRANDE_HOT_SPRINGS,Isoptera,9,88,10.2272727272727
ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,59,88,67.0454545454545
FINCA_GUADELUPE,Hemiptera,1,5,20
FINCA_GUADELUPE,Hymenoptera,3,5,60
FINCA_GUADELUPE,Lepidoptera,1,5,20
NEW_MEXICO,Diptera,1,9,11.1111111111111
NEW_MEXICO,Lepidoptera,8,9,88.8888888888889
NICARAGUA,Blattodea,4,94,4.25531914893617
NICARAGUA,Coleoptera,28,94,29.7872340425532
NICARAGUA,Diptera,9,94,9.57446808510638
NICARAGUA,Hemiptera,14,94,14.8936170212766
NICARAGUA,Lepidoptera,39,94,41.4893617021277
SARDINA,Blattodea,1,33,3.03030303030303
SARDINA,Coleoptera,3,33,9.09090909090909
SARDINA,Diptera,4,33,12.1212121212121
SARDINA,Entomobryomorpha,1,33,3.03030303030303
SARDINA,Ephemeroptera,1,33,3.03030303030303
SARDINA,Hemiptera,1,33,3.03030303030303
SARDINA,Hymenoptera,2,33,6.06060606060606
SARDINA,Isoptera,1,33,3.03030303030303
SARDINA,Lepidoptera,17,33,51.5151515151515
SARDINA,Orthoptera,1,33,3.03030303030303
SARDINA,Trombidiformes,1,33,3.03030303030303
