SampleID,Site,Date,BatID,BatSpecies,Sex
nau.7001,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,1,PTPA,F
nau.7002,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,2,LABL,F
nau.7004,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7006,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,8,PTPE,F
nau.7007,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,9,PTPA,F
nau.7009,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,11,PTPA,M
nau.7010,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,12,PTPE,F
nau.7011,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,15,PTPE,M
nau.7012,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,17,PTGY,M
nau.7013,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,19,MOPR,F
nau.7014,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,20,MOPR,F
nau.7015,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,21,MOPR,F
nau.7016,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,22,MOPR,F
nau.7019,SARDINA,6/1/16,12,RHBI,F
nau.7021,SARDINA,6/1/16,16,CAPE,F
nau.7023,SARDINA,6/1/16,18,MYNI,F
nau.7031,SARDINA,6/1/16,32,MYNI,noRecord
nau.7032,SARDINA,6/1/16,34,TRCI,F
nau.7033,SARDINA,6/1/16,35,RHNA,F
nau.7034,SARDINA,6/1/16,37,NOAL,F
nau.7035,ESCAMAQUITA,6/2/16,1,RHBI,F
nau.7038,ESCAMAQUITA,6/2/16,10,PTPA,M
nau.7039,ESCAMAQUITA,6/2/16,11,PTPA,M
nau.7041,ESCAMAQUITA,6/2/16,13,PTPA,M
nau.7042,ESCAMAQUITA,6/2/16,14,PTGY,F
nau.7043,ESCAMAQUITA,6/2/16,15,RHBI,F
nau.7044,ESCAMAQUITA,6/2/16,16,PTPA,M
nau.7046,ESCAMAQUITA,6/2/16,18,EPFUR,M
nau.7048,ESCAMAQUITA,6/2/16,26,PTPA,M
nau.7049,ESCAMAQUITA,6/2/16,27,MOSI,F
nau.7050,ESCAMAQUITA,6/2/16,29,PTPA,F
nau.7052,ESCAMAQUITA,6/2/16,31,RHBI,F
nau.7053,ESCAMAQUITA,6/2/16,32,PTGY,F
nau.7054,ESCAMAQUITA,6/2/16,34,PTPA,M
nau.7055,ESCAMAQUITA,6/2/16,35,PTPA,M
nau.7056,ESCAMAQUITA,6/2/16,39,STPA,F
nau.7059,FINCA_GUADELUPE,6/4/16,42,STPA,F
nau.7073,FINCA_GUADELUPE,6/4/15,57-A,PHST,F
nau.7074,FINCA_GUADELUPE,6/4/15,57-B,PHST,F
nau.7075,FINCA_GUADELUPE,6/4/15,57-C,PHST,F
nau.7120,NICARAGUA,5/20/15,135,PHDI,noRecord
nau.7121,NICARAGUA,5/20/15,148,EPFUR,noRecord
nau.7122,NICARAGUA,5/20/15,155,EPFUR,noRecord
nau.7124,NICARAGUA,5/31/15,60,EPBR?,F
nau.7125,NICARAGUA,5/31/15,57,EUGL,F
nau.7127,NICARAGUA,5/31/15,43,MOPR,F
nau.7128,NICARAGUA,5/31/15,41,MOMO,F
nau.7129,NICARAGUA,5/31/15,40,RHDU,F
nau.7130,NICARAGUA,5/31/15,38,MOPR,F
nau.7133,NICARAGUA,5/31/15,29,MOMO,F
nau.7134,NICARAGUA,5/31/15,27,MOPR,F
nau.7135,NICARAGUA,5/31/15,25,LAEG,F
nau.7136,NICARAGUA,5/31/15,23,MOPR,F
nau.7137,NICARAGUA,5/31/15,21,EUUN,F
nau.7138,NICARAGUA,5/31/15,176,CAPE,M
nau.7139,NICARAGUA,5/31/15,168,NOLE,F
nau.7140,NICARAGUA,5/31/15,164,EPFUR,F
nau.7141,NICARAGUA,5/31/15,105,EPFUR,F
nau.euma1bandersonNM,NEW_MEXICO,noRecord,noRecord,EUMA,noRecord
