BatSpecies,Site,ArthropodFamily,RelativeCounts,TotalCounts,percent_taxa
CAPE,NICARAGUA,Carabidae,1,8,12.5
CAPE,NICARAGUA,Noctuidae,1,8,12.5
CAPE,NICARAGUA,Tineidae,1,8,12.5
CAPE,NICARAGUA,unknown,4,8,50
CAPE,NICARAGUA,Ypsolophidae,1,8,12.5
CAPE,SARDINA,Blastobasidae,1,5,20
CAPE,SARDINA,Coleophoridae,1,5,20
CAPE,SARDINA,Crambidae,1,5,20
CAPE,SARDINA,Erebidae,1,5,20
CAPE,SARDINA,Scarabaeidae,1,5,20
EPBR?,NICARAGUA,Blastobasidae,2,17,11.7647058823529
EPBR?,NICARAGUA,Carabidae,1,17,5.88235294117647
EPBR?,NICARAGUA,Coleophoridae,1,17,5.88235294117647
EPBR?,NICARAGUA,Crambidae,1,17,5.88235294117647
EPBR?,NICARAGUA,Depressariidae,1,17,5.88235294117647
EPBR?,NICARAGUA,Erebidae,1,17,5.88235294117647
EPBR?,NICARAGUA,Limoniidae,4,17,23.5294117647059
EPBR?,NICARAGUA,unknown,6,17,35.2941176470588
EPFUR,ESCAMAQUITA,Blastobasidae,1,10,10
EPFUR,ESCAMAQUITA,Crambidae,1,10,10
EPFUR,ESCAMAQUITA,Culicidae,1,10,10
EPFUR,ESCAMAQUITA,Erebidae,3,10,30
EPFUR,ESCAMAQUITA,Euteliidae,1,10,10
EPFUR,ESCAMAQUITA,Noctuidae,1,10,10
EPFUR,ESCAMAQUITA,Tineidae,1,10,10
EPFUR,ESCAMAQUITA,unknown,1,10,10
EPFUR,NICARAGUA,Blaberidae,1,31,3.2258064516129
EPFUR,NICARAGUA,Blastobasidae,1,31,3.2258064516129
EPFUR,NICARAGUA,Cicadidae,1,31,3.2258064516129
EPFUR,NICARAGUA,Erebidae,4,31,12.9032258064516
EPFUR,NICARAGUA,Gelechiidae,1,31,3.2258064516129
EPFUR,NICARAGUA,unknown,23,31,74.1935483870968
EUGL,NICARAGUA,Crambidae,1,5,20
EUGL,NICARAGUA,Erebidae,4,5,80
EUMA,NEW_MEXICO,Erebidae,1,9,11.1111111111111
EUMA,NEW_MEXICO,Noctuidae,4,9,44.4444444444444
EUMA,NEW_MEXICO,Tachinidae,1,9,11.1111111111111
EUMA,NEW_MEXICO,Tineidae,2,9,22.2222222222222
EUMA,NEW_MEXICO,unknown,1,9,11.1111111111111
EUUN,NICARAGUA,Carabidae,1,3,33.3333333333333
EUUN,NICARAGUA,unknown,2,3,66.6666666666667
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Cosmopterigidae,1,8,12.5
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Crambidae,1,8,12.5
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Erebidae,1,8,12.5
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Noctuidae,2,8,25
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Tineidae,2,8,25
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,1,8,12.5
LAEG,NICARAGUA,Blastobasidae,1,7,14.2857142857143
LAEG,NICARAGUA,Erebidae,3,7,42.8571428571429
LAEG,NICARAGUA,Noctuidae,2,7,28.5714285714286
LAEG,NICARAGUA,unknown,1,7,14.2857142857143
MOMO,NICARAGUA,unknown,1,1,100
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,Chrysomelidae,1,5,20
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,4,5,80
MOPR,NICARAGUA,Chironomidae,1,4,25
MOPR,NICARAGUA,unknown,3,4,75
MOSI,ESCAMAQUITA,Erebidae,4,6,66.6666666666667
MOSI,ESCAMAQUITA,Euteliidae,1,6,16.6666666666667
MOSI,ESCAMAQUITA,unknown,1,6,16.6666666666667
MYNI,SARDINA,Autostichidae,1,6,16.6666666666667
MYNI,SARDINA,Noctuidae,1,6,16.6666666666667
MYNI,SARDINA,unknown,4,6,66.6666666666667
NOAL,SARDINA,Chironomidae,1,5,20
NOAL,SARDINA,unknown,4,5,80
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,Crambidae,2,9,22.2222222222222
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,Noctuidae,1,9,11.1111111111111
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,Tineidae,4,9,44.4444444444444
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,2,9,22.2222222222222
NOLE,NICARAGUA,Euteliidae,1,4,25
NOLE,NICARAGUA,Tineidae,1,4,25
NOLE,NICARAGUA,unknown,2,4,50
PHDI,NICARAGUA,Cicadidae,1,6,16.6666666666667
PHDI,NICARAGUA,Erebidae,2,6,33.3333333333333
PHDI,NICARAGUA,Limoniidae,1,6,16.6666666666667
PHDI,NICARAGUA,unknown,2,6,33.3333333333333
PHST,FINCA_GUADELUPE,unknown,3,3,100
PTGY,ESCAMAQUITA,Crambidae,2,17,11.7647058823529
PTGY,ESCAMAQUITA,Erebidae,7,17,41.1764705882353
PTGY,ESCAMAQUITA,Euteliidae,2,17,11.7647058823529
PTGY,ESCAMAQUITA,Geometridae,2,17,11.7647058823529
PTGY,ESCAMAQUITA,Noctuidae,4,17,23.5294117647059
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,Erebidae,2,5,40
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,Euteliidae,1,5,20
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,2,5,40
PTPA,ESCAMAQUITA,Braconidae,1,40,2.5
