BatSpecies,Site,ArthropodOrder,RelativeCounts,TotalCounts,percent_taxa
CAPE,NICARAGUA,Coleoptera,3,8,37.5
CAPE,NICARAGUA,Diptera,1,8,12.5
CAPE,NICARAGUA,Hemiptera,1,8,12.5
CAPE,NICARAGUA,Lepidoptera,3,8,37.5
CAPE,SARDINA,Coleoptera,1,5,20
CAPE,SARDINA,Lepidoptera,4,5,80
EPBR?,NICARAGUA,Blattodea,1,17,5.88235294117647
EPBR?,NICARAGUA,Coleoptera,2,17,11.7647058823529
EPBR?,NICARAGUA,Diptera,5,17,29.4117647058824
EPBR?,NICARAGUA,Hemiptera,1,17,5.88235294117647
EPBR?,NICARAGUA,Lepidoptera,8,17,47.0588235294118
EPFUR,ESCAMAQUITA,Coleoptera,1,10,10
EPFUR,ESCAMAQUITA,Diptera,1,10,10
EPFUR,ESCAMAQUITA,Lepidoptera,8,10,80
EPFUR,NICARAGUA,Blattodea,3,31,9.67741935483871
EPFUR,NICARAGUA,Coleoptera,18,31,58.0645161290323
EPFUR,NICARAGUA,Hemiptera,3,31,9.67741935483871
EPFUR,NICARAGUA,Lepidoptera,7,31,22.5806451612903
EUGL,NICARAGUA,Lepidoptera,5,5,100
EUMA,NEW_MEXICO,Diptera,1,9,11.1111111111111
EUMA,NEW_MEXICO,Lepidoptera,8,9,88.8888888888889
EUUN,NICARAGUA,Coleoptera,1,3,33.3333333333333
EUUN,NICARAGUA,Hemiptera,2,3,66.6666666666667
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Diptera,1,8,12.5
LABL,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,7,8,87.5
LAEG,NICARAGUA,Hemiptera,1,7,14.2857142857143
LAEG,NICARAGUA,Lepidoptera,6,7,85.7142857142857
MOMO,NICARAGUA,Hemiptera,1,1,100
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,Coleoptera,1,5,20
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,Isoptera,3,5,60
MOPR,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,1,5,20
MOPR,NICARAGUA,Diptera,1,4,25
MOPR,NICARAGUA,Hemiptera,3,4,75
MOSI,ESCAMAQUITA,Coleoptera,1,6,16.6666666666667
MOSI,ESCAMAQUITA,Lepidoptera,5,6,83.3333333333333
MYNI,SARDINA,Ephemeroptera,1,6,16.6666666666667
MYNI,SARDINA,Lepidoptera,5,6,83.3333333333333
NOAL,SARDINA,Coleoptera,1,5,20
NOAL,SARDINA,Diptera,1,5,20
NOAL,SARDINA,Isoptera,1,5,20
NOAL,SARDINA,Lepidoptera,1,5,20
NOAL,SARDINA,Orthoptera,1,5,20
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,Coleoptera,2,9,22.2222222222222
NOLE,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,7,9,77.7777777777778
NOLE,NICARAGUA,Coleoptera,1,4,25
NOLE,NICARAGUA,Hemiptera,1,4,25
NOLE,NICARAGUA,Lepidoptera,2,4,50
PHDI,NICARAGUA,Coleoptera,2,6,33.3333333333333
PHDI,NICARAGUA,Diptera,1,6,16.6666666666667
PHDI,NICARAGUA,Hemiptera,1,6,16.6666666666667
PHDI,NICARAGUA,Lepidoptera,2,6,33.3333333333333
PHST,FINCA_GUADELUPE,Hymenoptera,3,3,100
PTGY,ESCAMAQUITA,Lepidoptera,17,17,100
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,Isoptera,1,5,20
PTGY,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,4,5,80
PTPA,ESCAMAQUITA,Blattodea,2,40,5
PTPA,ESCAMAQUITA,Diptera,1,40,2.5
PTPA,ESCAMAQUITA,Hymenoptera,1,40,2.5
PTPA,ESCAMAQUITA,Isoptera,1,40,2.5
PTPA,ESCAMAQUITA,Lepidoptera,35,40,87.5
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Blattodea,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Coleoptera,4,44,9.09090909090909
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Diptera,5,44,11.3636363636364
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Hemiptera,2,44,4.54545454545455
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Isoptera,2,44,4.54545454545455
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,30,44,68.1818181818182
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Diptera,3,17,17.6470588235294
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Hemiptera,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Isoptera,3,17,17.6470588235294
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Lepidoptera,10,17,58.8235294117647
RHBI,ESCAMAQUITA,Coleoptera,7,19,36.8421052631579
RHBI,ESCAMAQUITA,Diptera,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Lepidoptera,11,19,57.8947368421053
RHBI,SARDINA,Blattodea,1,2,50
RHBI,SARDINA,Hymenoptera,1,2,50
RHDU,NICARAGUA,Coleoptera,1,8,12.5
RHDU,NICARAGUA,Diptera,1,8,12.5
RHDU,NICARAGUA,Lepidoptera,6,8,75
RHNA,SARDINA,Diptera,2,6,33.3333333333333
RHNA,SARDINA,Hymenoptera,1,6,16.6666666666667
RHNA,SARDINA,Lepidoptera,3,6,50
STPA,ESCAMAQUITA,Lepidoptera,3,3,100
STPA,FINCA_GUADELUPE,Hemiptera,1,2,50
STPA,FINCA_GUADELUPE,Lepidoptera,1,2,50
TRCI,SARDINA,Coleoptera,1,9,11.1111111111111
TRCI,SARDINA,Diptera,1,9,11.1111111111111
TRCI,SARDINA,Entomobryomorpha,1,9,11.1111111111111
TRCI,SARDINA,Hemiptera,1,9,11.1111111111111
TRCI,SARDINA,Lepidoptera,4,9,44.4444444444444
TRCI,SARDINA,Trombidiformes,1,9,11.1111111111111
