ID,altID,seqID,SampleID,DateSampled,BirdSpecies
ntc,ntc,asc097,NTC_OahuBird.097,negControl,negControl
2390_21986,HB195,asc098,OahuBird.098,7/8/04,JABW (Juv)
2060_72971,HB196,asc099,OahuBird.099,7/9/04,JAWE
1881_37757,HB197,asc100,OahuBird.100,7/9/04,HAAM
2390_21958,HB198,asc101,OahuBird.101,3/19/04,JABW
2110_39984,HB199,asc102,OahuBird.102,7/9/04,MACR
1541_80183,HB200,asc103,OahuBird.103,3/31/03,RBLE
1821_41103,HB201,asc104,OahuBird.104,3/9/04,MACR
2060_72902,HB202,asc105,OahuBird.105,3/16/04,JAWE
1881_37767,HB203,asc106,OahuBird.106,7/23/04,HAAM
1811_01818,HB204,asc107,OahuBird.107,3/17/04,RBLE
2060_72915,HB205,asc108,OahuBird.108,3/18/04,JAWE
2060_73098,HB206,asc109,OahuBird.109,3/16/04,JAWE
NTC,NTC,asc110,NTC_OahuBird.110,negControl,negControl
1821_41107,HB207,asc111,OahuBird.111,3/9/04,HAAM
2060_72907,HB208,asc112,OahuBird.112,3/17/04,JAWE
1202_86401,HB209,asc113,OahuBird.113,3/16/04,MELT
2390_23913,HB210,asc114,OahuBird.114,6/25/02,JAWE
1771_11435,HB211,asc115,OahuBird.115,4/9/02,MACR
2390_21932,HB212,asc116,OahuBird.116,6/28/02,JAWE
2110_39954,HB213,asc117,OahuBird.117,4/8/02,JAWE
1791_52291,HB214,asc118,OahuBird.118,4/19/02,RBLE
870_79622,HB215,asc119,OahuBird.119,6/24/02,JABW
1811_01476,HB216,asc120,OahuBird.120,7/3/02,RBLE
2390_23914,HB217,asc121,OahuBird.121,6/25/02,RBLE
1791_52229,HB218,asc122,OahuBird.122,3/22/02,RBLE
,NTC,asc123,NTC_OahuBird.123,negControl,negControl
1791_52281,HB219,asc124,OahuBird.124,4/9/02,RBLE
1771_11489,HB220,asc125,OahuBird.125,4/23/02,JABW
2390_21909,HB221,asc126,OahuBird.126,24-Jun,JAWE
2110_39948,HB222,asc127,OahuBird.127,4/6/02,JAWE
1791_52298,HB223,asc128,OahuBird.128,4/19/02,RBLE 5
2210_39928,HB224,asc129,OahuBird.129,3/22/02,JAWE
1771_11470,HB225,asc130,OahuBird.130,4/18/02,MACR
2110_39929,HB226,asc131,OahuBird.131,3/22/02,JAWE
1771_11490,HB227,asc132,OahuBird.132,4/23/02,JABW
1771_11422,HB228,asc133,OahuBird.133,4/6/02,MACR
1771_11492,HB229,asc134,OahuBird.134,5/9/02,JABW
2110_39957,HB230,asc135,OahuBird.135,4/9/02,JAWE
,NTC,asc136,NTC_OahuBird.136,negControl,negControl
2110_39937,HB231,asc137,OahuBird.137,3/25/02,JAWE
1791_32279,HB232,asc138,OahuBird.138,4/9/02,RBLE
2110_39950,HB233,asc139,OahuBird.139,4/6/02,JAWE
1771_11413,HB234,asc140,OahuBird.140,4/3/02,JABW
2110-39941,HB235,asc141,OahuBird.141,4/5/02,JAWE
1811_01529,HB236,asc142,OahuBird.142,3/20/03,RBLE
1550_20043,HB287,asc293,OahuBird.293,4/5/03,JAWE
1811_01456,HB288,asc294,OahuBird.294,3/13/03,RBLE
1811_01568,HB289,asc295,OahuBird.295,4/2/03,RBLE
1811_01587,HB290,asc296,OahuBird.296,7/3/03,RBLE
1811_01494,HB291,asc297,OahuBird.297,7/14/03,RBLE
1821_41017,HB292,asc298,OahuBird.298,7/3/03,JABW
1821_41073,HB293,asc299,OahuBird.299,7/16/03,JABW
3500_21444,HB294,asc300,OahuBird.300,7/8/03,JAWE
2110_39993,HB295,asc301,OahuBird.301,3/20/03,JAWE
1541_80182,HB296,asc302,OahuBird.302,3/31/03,RBLE
3500_21919,HB297,asc303,OahuBird.303,3/26/03,JAWE
2110_39990,HB298,asc304,OahuBird.304,7/16/03,JAWE
1811_01681,HB299,asc305,OahuBird.305,7/14/03,RBLE
3500_21448,HB300,asc306,OahuBird.306,7/10/03,JAWE
2390_21923,HB301,asc307,OahuBird.307,3/20/03,JAWE
1811_01571,HB302,asc308,OahuBird.308,4/2/03,RBLE
1811_01497,HB303,asc309,OahuBird.309,7/14/03,RBLE
1811_01612,HB304,asc310,OahuBird.310,7/4/03,RBLE
1781_50815,HB305,asc311,OahuBird.311,7/15/03,RBLE
1202_86411,HB306,asc312,OahuBird.312,7/4/03,MELT
2110_39996,HB307,asc313,OahuBird.313,3/20/03,JAWE
2171_77832,HB308,asc314,OahuBird.314,3/31/03,HAAM
1811_01550,HB309,asc315,OahuBird.315,7/2/03,RBLE
1811_01575,HB310,asc316,OahuBird.316,4/3/03,RBLE
1811_01552,HB311,asc317,OahuBird.317,7/3/03,RBLE
1781_50819,HB312,asc318,OahuBird.318,7/15/03,RBLE
3500_21451,HB313,asc319,OahuBird.319,7/10/03,JAWE
2390_21957,HB314,asc320,OahuBird.320,3/22/03,JAWE
2390_21946,HB315,asc321,OahuBird.321,3/21/03,JAWE
1811_01551,HB316,asc322,OahuBird.322,7/2/03,RBLE
1811_01614,HB317,asc323,OahuBird.323,7/4/03,RBLE
1811_01562,HB318,asc324,OahuBird.324,,RBLE
1781_50823,HB319,asc325,OahuBird.325,7/16/03,RBLE
3500_21455,HB320,asc326,OahuBird.326,7/14/03,JAWE
