OTUid,NumberOfDetections
OTU1,2
OTU10,24
OTU100,1
OTU1002,3
OTU1003,4
OTU1006,1
OTU101,7
OTU1010,1
OTU1011,1
OTU1014,1
OTU1019,1
OTU102,1
OTU1023,2
OTU1027,1
OTU1028,3
OTU1029,2
OTU1034,1
OTU1036,1
OTU1037,1
OTU1038,1
OTU1039,2
OTU1044,1
OTU1045,2
OTU105,2
OTU1050,2
OTU1051,1
OTU1052,1
OTU1053,3
OTU1055,1
OTU1057,1
OTU1061,1
OTU1062,1
OTU1065,1
OTU1066,2
OTU1067,1
OTU107,6
OTU1070,1
OTU1072,2
OTU1073,1
OTU1076,1
OTU1077,1
OTU108,20
OTU1080,1
OTU1087,1
OTU1090,1
OTU1091,1
OTU1092,2
OTU110,1
OTU1100,1
OTU1102,1
OTU1104,1
OTU1105,3
OTU1107,1
OTU1110,2
OTU1111,1
OTU1115,2
OTU1119,1
OTU1120,2
OTU1121,1
OTU1122,2
OTU1123,1
OTU1124,1
OTU1126,2
OTU1130,1
OTU1131,1
OTU1136,2
OTU1137,1
OTU1139,2
OTU1140,1
OTU1150,1
OTU1157,2
OTU1160,1
OTU1162,1
OTU1163,2
OTU1165,1
OTU1168,1
OTU1170,6
OTU1174,1
OTU1175,1
OTU1176,1
OTU1182,2
OTU1184,1
OTU1186,1
OTU119,17
OTU1196,1
OTU1197,1
OTU12,2
OTU1203,1
OTU1213,1
OTU1217,1
OTU1218,1
OTU122,33
OTU1227,1
OTU1228,2
OTU1231,1
OTU1234,1
OTU1237,1
OTU1242,1
OTU1251,1
OTU1253,2
OTU1257,1
OTU1267,1
OTU1268,2
OTU127,57
OTU1275,1
OTU128,1
OTU1285,3
OTU1287,3
OTU1294,1
OTU130,13
OTU1303,2
OTU131,7
OTU1312,2
OTU1319,1
OTU133,1
OTU1332,1
OTU134,36
OTU1340,2
OTU1342,1
OTU1351,1
OTU136,10
OTU1362,7
OTU1367,5
OTU1370,1
OTU1374,1
OTU1376,1
OTU1379,1
OTU138,32
OTU1382,1
OTU1383,1
OTU1384,1
OTU139,78
OTU1392,1
OTU1393,1
OTU1394,1
OTU1395,1
OTU1413,1
OTU1421,1
OTU1425,1
OTU1429,2
OTU1430,1
OTU1434,1
OTU1435,2
OTU1439,1
OTU144,2
OTU1440,1
OTU1448,1
OTU1449,5
OTU1456,1
OTU1463,1
OTU1475,1
OTU1478,1
OTU1485,3
OTU1491,1
OTU15,10
OTU1500,1
OTU1506,1
OTU1507,1
OTU151,27
OTU1524,1
OTU1529,1
OTU1536,1
OTU154,49
OTU155,1
OTU1550,1
OTU1551,1
OTU1554,1
OTU1559,2
OTU1560,1
OTU1564,1
OTU1565,1
OTU157,5
OTU1577,1
OTU1578,1
OTU1581,1
OTU1584,1
OTU1588,1
OTU1592,1
OTU1598,1
OTU1599,1
OTU1613,1
OTU1619,1
OTU162,5
OTU1623,1
OTU1632,16
OTU1633,1
OTU1644,1
OTU165,3
OTU1650,1
OTU1660,1
OTU1662,1
OTU1663,26
OTU1664,1
OTU1666,1
OTU1675,1
OTU1677,1
OTU1680,1
OTU1688,1
OTU1689,1
OTU1699,1
OTU1707,1
OTU171,52
OTU1716,1
OTU1717,1
OTU1718,1
OTU1720,1
OTU173,1
OTU1731,1
OTU174,16
OTU1745,4
OTU175,2
OTU1752,1
OTU1753,1
OTU1754,2
OTU177,1
OTU1780,3
OTU179,1
OTU1801,18
OTU181,28
OTU182,23
OTU183,32
OTU184,2
OTU185,1
OTU1859,1
OTU187,33
OTU189,29
OTU1896,1
OTU190,2
OTU192,28
OTU1938,2
OTU194,26
OTU195,29
OTU197,42
OTU198,26
OTU1990,18
OTU2,28
OTU200,2
OTU201,2
OTU202,39
OTU2030,1
OTU204,42
OTU2057,1
OTU207,4
OTU209,25
OTU2097,1
OTU210,20
OTU212,26
OTU213,1
OTU214,3
OTU215,27
OTU2175,2
OTU219,14
OTU221,6
OTU2234,17
OTU2249,3
OTU225,1
OTU2260,4
OTU2290,1
OTU2295,27
OTU231,22
OTU235,47
OTU236,26
OTU2407,1
OTU241,21
OTU248,2
OTU251,1
OTU253,27
OTU254,2
OTU255,24
OTU2568,2
OTU257,1
OTU2574,2
OTU258,10
OTU259,1
OTU260,25
OTU261,31
OTU262,23
OTU270,24
OTU273,21
OTU275,2
OTU276,23
OTU277,1
OTU278,1
OTU2808,3
OTU281,13
OTU2829,1
OTU283,1
OTU288,32
OTU29,30
OTU2906,1
OTU292,1
OTU294,18
OTU295,1
OTU2982,1
OTU300,15
OTU301,2
OTU302,6
OTU3039,4
OTU304,1
OTU305,2
OTU312,19
OTU3126,1
OTU313,3
OTU316,43
OTU317,18
OTU318,7
OTU319,1
OTU321,2
OTU324,14
OTU329,3
OTU334,4
OTU335,1
OTU336,3
OTU338,1
OTU340,11
OTU342,13
OTU3433,1
OTU344,1
OTU346,2
OTU350,15
OTU352,2
OTU354,1
OTU356,2
OTU357,5
OTU359,12
OTU362,4
OTU363,12
OTU367,13
OTU369,4
OTU371,15
OTU372,1
OTU377,12
OTU378,18
OTU379,13
OTU38,1
OTU380,13
OTU382,1
OTU385,12
OTU3851,5
OTU3855,2
OTU386,9
OTU387,16
OTU388,11
OTU3880,1
OTU389,12
OTU390,15
OTU393,1
OTU394,12
OTU396,1
OTU399,8
OTU401,3
OTU4016,1
OTU403,4
OTU406,14
OTU408,17
OTU409,7
OTU411,1
OTU412,1
OTU415,3
OTU417,2
OTU420,1
OTU421,11
OTU422,10
OTU423,12
OTU43,4
OTU430,2
OTU433,1
OTU440,10
OTU443,11
OTU444,16
OTU446,12
OTU447,1
OTU448,11
OTU449,2
OTU450,13
OTU453,8
OTU454,4
OTU456,9
OTU457,1
OTU46,7
OTU468,14
OTU469,10
OTU470,11
OTU473,10
OTU474,9
OTU476,9
OTU477,1
OTU478,15
OTU479,9
OTU481,8
OTU482,10
OTU483,8
OTU484,1
OTU485,12
OTU487,12
OTU489,6
OTU492,7
OTU494,9
OTU497,9
OTU498,9
OTU499,10
OTU50,6
OTU502,7
OTU503,15
OTU504,8
OTU505,9
OTU506,8
OTU507,1
OTU508,3
OTU51,16
OTU510,6
OTU512,1
OTU513,10
OTU515,7
OTU517,1
OTU519,8
OTU524,4
OTU525,13
OTU526,10
OTU527,5
OTU528,7
OTU529,1
OTU53,20
OTU530,5
OTU534,1
OTU535,1
OTU537,8
OTU538,1
OTU539,8
OTU54,11
OTU540,2
OTU542,1
OTU543,8
OTU545,1
OTU546,7
OTU548,5
