SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
NTC_OahuBird.136	OTU130	SS	0.99	BOLD:ACP3810.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	136	BOLD:ACP3810	negControl	negControl
NTC_OahuBird.136	OTU221_suspect_mock_chimera	GS	97.2	BOLD:AAN0877.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	163	BOLD:AAN0877	negControl	negControl
NTC_OahuBird.136	OTU29_suspect_mock_chimera	SS	1	BOLD:ACO5149.1	Animalia	Arthropoda	Insecta	NA	NA	NA	NA	805	BOLD:ACO5149	negControl	negControl
NTC_OahuBird.136	OTU2_suspect_mock_chimera	US	0.9249	BOLD:AAO4373.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	3169	BOLD:AAO4373	negControl	negControl
NTC_OahuBird.136	OTU54_suspect_mock_chimera	GS	97.6	BOLD:AAN0893.1	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae	Grammodes	Grammodes bifasciata	3212	BOLD:AAN0893	negControl	negControl
OahuBird.105	OTU100_suspect_mock_chimera	SS	1	BOLD:AAE7638.6	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	20351	BOLD:AAE7638	3/16/04	JAWE
OahuBird.112	OTU207_suspect_mock_chimera	GS	98.9	BOLD:ACH6516.2	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	77	BOLD:ACH6516	3/17/04	JAWE
OahuBird.112	OTU338_suspect_mock_chimera	GS	99.4	BOLD:ACP6340.1	Animalia	Arthropoda	Arachnida	Mesostigmata	NA	NA	NA	2185	BOLD:ACP6340	3/17/04	JAWE
OahuBird.120	OTU2829_suspect_mock_chimera	SS	0.99	BOLD:AAU4413.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	714	BOLD:AAU4413	7/3/02	RBLE
OahuBird.120	OTU301_suspect_mock_chimera	GS	99.4	BOLD:ACO4426.1	Animalia	Arthropoda	Collembola	Entomobryomorpha	NA	NA	NA	81	BOLD:ACO4426	7/3/02	RBLE
OahuBird.120	OTU352_suspect_mock_chimera	SS	0.98	BOLD:AAD3371.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	13080	BOLD:AAD3371	7/3/02	RBLE
OahuBird.120	OTU433_suspect_mock_variant	GS	97.8	BOLD:AAA7564.1	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Herpetogramma	NA	1320	BOLD:AAA7564	7/3/02	RBLE
OahuBird.120	OTU84_suspect_mock_chimera	GS	97.2	BOLD:AAU4413.1	Animalia	Arthropoda	Insecta	Lepidoptera	Crambidae	Tauroscopa	Tauroscopa lachnaea	506	BOLD:AAU4413	7/3/02	RBLE
OahuBird.121	OTU165_suspect_mock_chimera	SS	1	BOLD:AAO4224.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	112	BOLD:AAO4224	6/25/02	RBLE
OahuBird.121	OTU1_suspect_mock_chimera	GS	100	BOLD:AAC2499.1	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila suzukii	15150	BOLD:AAC2499	6/25/02	RBLE
OahuBird.121	OTU221_suspect_mock_chimera	GS	97.2	BOLD:AAN0877.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	794	BOLD:AAN0877	6/25/02	RBLE
OahuBird.121	OTU357_suspect_mock_chimera	GS	100	BOLD:AAI9477.1	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	62	BOLD:AAI9477	6/25/02	RBLE
OahuBird.121	OTU43_suspect_mock_chimera	SS	1	BOLD:ABY5163.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	1212	BOLD:ABY5163	6/25/02	RBLE
OahuBird.122	OTU369_suspect_mock_chimera	US	0.9715	BOLD:ACU2424.1	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	83	BOLD:ACU2424	3/22/02	RBLE
OahuBird.125	OTU545_suspect_mock_chimera	GS	100	BOLD:ACG2172.1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Amorbia	Amorbia synneurana	80	BOLD:ACG2172	4/23/02	JABW
OahuBird.125	OTU555_suspect_mock_chimera	US	0.9963	BOLD:ACC1128.1	Animalia	Arthropoda	Insecta	Hemiptera	NA	NA	NA	769	BOLD:ACC1128	4/23/02	JABW
