,BOLDalt,n,TotalCounts
1,BOLD:AAA0716,20,2935
2,BOLD:AAA0866,13,1798
3,BOLD:AAA0932,10,1520
4,BOLD:AAA0986,13,1394
5,BOLD:AAA0988,1,54
6,BOLD:AAA1669,8,889
7,BOLD:AAA2148,1,89
8,BOLD:AAA2314,4,268
9,BOLD:AAA2383,340,180606
10,BOLD:AAA2386,4,247
11,BOLD:AAA2389,10,746
12,BOLD:AAA2454,40,47306
13,BOLD:AAA2482,1,57064
14,BOLD:AAA2518,3,301
15,BOLD:AAA2527,57,13359
16,BOLD:AAA2528,11,1036
17,BOLD:AAA2634,30,3309
18,BOLD:AAA2949,2,274
19,BOLD:AAA2955,24,3243
20,BOLD:AAA3067,63,7874
21,BOLD:AAA3306,10,4207
22,BOLD:AAA3313,26,6538
23,BOLD:AAA3409,11,1078
24,BOLD:AAA3461,1,53
25,BOLD:AAA3564,18,2009
26,BOLD:AAA3659,35,4678
27,BOLD:AAA3678,27,2746
28,BOLD:AAA3680,15,1653
29,BOLD:AAA3920,21,5932
30,BOLD:AAA3993,34,18092
31,BOLD:AAA3997,12,1107
32,BOLD:AAA4031,1,77
33,BOLD:AAA4101,40,6578
34,BOLD:AAA4130,129,58720
35,BOLD:AAA4172,1,52
36,BOLD:AAA4335,2,177
37,BOLD:AAA4439,12,1058
38,BOLD:AAA4646,27,7036
39,BOLD:AAA4727,32,13796
40,BOLD:AAA4751,1,3213
41,BOLD:AAA4967,5,343
42,BOLD:AAA5028,2,122
43,BOLD:AAA5487,7,834
44,BOLD:AAA5620,10,745
45,BOLD:AAA5871,17,2082
46,BOLD:AAA6260,37,5460
47,BOLD:AAA6261,6,1513
48,BOLD:AAA6292,7,714
49,BOLD:AAA6295,5,352
50,BOLD:AAA6614,85,16554
51,BOLD:AAA6709,6,503
52,BOLD:AAA6823,11,1980
53,BOLD:AAA7111,4,323
54,BOLD:AAA7223,3,234
55,BOLD:AAA7272,5,288
56,BOLD:AAA7515,100,16674
57,BOLD:AAA7661,2,134
58,BOLD:AAA7894,31,4097
59,BOLD:AAA7906,24,4483
60,BOLD:AAA7920,52,7314
61,BOLD:AAA8076,26,4484
62,BOLD:AAA8103,4,272
63,BOLD:AAA8153,59,10922
64,BOLD:AAA8210,38,5114
65,BOLD:AAA8220,1,96
66,BOLD:AAA8419,3,16554
67,BOLD:AAA8504,2,136
