,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,SampleID,BOLDalt
1,OTU100_suspect_mock_chimera,SS,1.0000,BOLD:AAE7638.6,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,20351,OahuBird.105,BOLD:AAE7638
2,OTU207_suspect_mock_chimera,GS,98.9,BOLD:ACH6516.2,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,77,OahuBird.112,BOLD:ACH6516
3,OTU338_suspect_mock_chimera,GS,99.4,BOLD:ACP6340.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,2185,OahuBird.112,BOLD:ACP6340
4,OTU2829_suspect_mock_chimera,SS,0.9900,BOLD:AAU4413.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,714,OahuBird.120,BOLD:AAU4413
5,OTU301_suspect_mock_chimera,GS,99.4,BOLD:ACO4426.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,81,OahuBird.120,BOLD:ACO4426
6,OTU352_suspect_mock_chimera,SS,0.9800,BOLD:AAD3371.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,13080,OahuBird.120,BOLD:AAD3371
7,OTU433_suspect_mock_variant,GS,97.8,BOLD:AAA7564.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Herpetogramma,NA,1320,OahuBird.120,BOLD:AAA7564
8,OTU84_suspect_mock_chimera,GS,97.2,BOLD:AAU4413.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Tauroscopa,Tauroscopa lachnaea,506,OahuBird.120,BOLD:AAU4413
9,OTU165_suspect_mock_chimera,SS,1.0000,BOLD:AAO4224.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,112,OahuBird.121,BOLD:AAO4224
10,OTU1_suspect_mock_chimera,GS,100.0,BOLD:AAC2499.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii,15150,OahuBird.121,BOLD:AAC2499
11,OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,794,OahuBird.121,BOLD:AAN0877
12,OTU357_suspect_mock_chimera,GS,100.0,BOLD:AAI9477.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,62,OahuBird.121,BOLD:AAI9477
13,OTU43_suspect_mock_chimera,SS,1.0000,BOLD:ABY5163.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1212,OahuBird.121,BOLD:ABY5163
14,OTU369_suspect_mock_chimera,US,0.9715,BOLD:ACU2424.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,83,OahuBird.122,BOLD:ACU2424
15,OTU545_suspect_mock_chimera,GS,100.0,BOLD:ACG2172.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Amorbia,Amorbia synneurana,80,OahuBird.125,BOLD:ACG2172
