NestBox,Date,NumberOfDetections
blue_field_3,42873,9
blue_field_3,42877,69
blue_field_3,42879,4
blue_field_3,42889,8
blue_field_3,42894,4
blue_field_3,42898,1
blue_field_4,42909,11
blue_field_4,42915,49
blue_field_4,42919,9
blue_field_4,42923,8
blue_field_6,42897,12
blue_field_6,42909,8
blue_field_6,42921,48
blue_field_7,42893,14
blue_field_7,42905,3
blue_field_7,42909,3
blue_field_7,42913,16
blue_field_7,42917,7
riverlot_1,42867,20
riverlot_1,42882,41
riverlot_1,42885,7
riverlot_1,42889,1
riverlot_4,42893,11
riverlot_4,42899,4
riverlot_4,42905,11
riverlot_4,42907,38
riverlot_4,42913,14
riverlot_4,42917,15
riverlot_5,42917,3
riverlot_5,42927,6
soccer_1,42887,471
soccer_4,42909,7
soccer_4,42917,16
soccer_4,42927,4
soccer_4,42933,3
soccer_5,42915,8
soccer_5,42937,5
soccer_8,42911,6
soccer_8,42915,10
soccer_8,42919,48
soko_13,42893,6
soko_13,42903,51
soko_13,42907,16
soko_13,42911,9
soko_8,42873,18
sokokis_11,42955,3
sokokis_12,42909,3
sokokis_12,42913,4
sokokis_12,42917,5
sokokis_12,42919,5
sokokis_14,42865,7
sokokis_14,42905,10
sokokis_14,42909,7
sokokis_2,42923,3
sokokis_2,42925,46
sokokis_5,42889,26
sokokis_5,42901,25
sokokis_5,42909,26
sokokis_5,42911,39
sokokis_7,42913,67
sokokis_7,42917,26
sokokis_7,42921,7
sokokis_8,42901,10
sokokis_8,42911,38
sokokis_8,42913,10
sokokis_8,42919,1
