,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
1,OTU169_suspect_mock_chimera,GS,99.4,BOLD:ACE2171.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,NA,NA,extBlankA07,133,BOLD:ACE2171
2,OTU209_suspect_mock_chimera,GS,100.0,BOLD:AAB9410.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris semipurpurana,extBlankA07,124,BOLD:AAB9410
3,OTU215_suspect_mock_chimera,GS,100.0,BOLD:ADF6563.2,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,Maccaffertium vicarium,extBlankA07,84,BOLD:ADF6563
4,OTU573_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,extBlankA07,66,BOLD:ACO5149
5,OTU760_suspect_mock_chimera,US,0.9919,BOLD:ACT5093.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,extBlankA07,51,BOLD:ACT5093
6,OTU1472_suspect_mock_chimera,GS,99.4,BOLD:ACA6311.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,extBlankA07,74,BOLD:ACA6311
7,OTU78_suspect_mock_chimera,GS,100.0,BOLD:AAA3306.1,Animalia,Arthropoda,Insecta,Trichoptera,Goeridae,Goera,Goera calcarata,extBlankB11,137,BOLD:AAA3306
8,OTU125_suspect_mock_chimera,GS,100.0,BOLD:AAA6614.6,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,extBlankB11,98,BOLD:AAA6614
9,OTU277_suspect_mock_chimera,US,0.9860,BOLD:AAP0959.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,extBlankB11,139,BOLD:AAP0959
10,OTU419_suspect_mock_chimera,SS,0.9800,BOLD:AAD8248.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,extBlankB11,188,BOLD:AAD8248
11,OTU471_suspect_mock_chimera,GS,97.8,BOLD:AAB0223.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,extBlankB11,118,BOLD:AAB0223
12,OTU357_suspect_mock_chimera,GS,100.0,BOLD:AAB1096.3,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis glandulella,extBlankC10,30,BOLD:AAB1096
13,OTU577_suspect_mock_chimera,GS,100.0,BOLD:AAB8595.2,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Nemotaulius,Nemotaulius hostilis,extBlankC10,38,BOLD:AAB8595
14,OTU1635_suspect_mock_chimera,SS,0.9500,BOLD:AAH3593.1,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,Chauliodes pectinicornis,extBlankC10,29,BOLD:AAH3593
15,OTU59_suspect_mock_chimera,GS,100.0,BOLD:AAH3593.1,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,Chauliodes pectinicornis,extBlankE08,359,BOLD:AAH3593
16,OTU73_suspect_mock_chimera,US,0.9859,BOLD:ACJ8629.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,extBlankE08,108,BOLD:ACJ8629
17,OTU82_suspect_mock_chimera,GS,99.4,BOLD:AAC3145.3,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,Maccaffertium terminatum,extBlankE08,171,BOLD:AAC3145
18,OTU136_suspect_mock_chimera,GS,100.0,BOLD:AAP2866.1,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Paracoenia,Paracoenia fumosa,extBlankE08,219,BOLD:AAP2866
19,OTU143_suspect_mock_chimera,GS,100.0,BOLD:AAO2062.1,Animalia,Arthropoda,Insecta,Megaloptera,Corydalidae,Chauliodes,Chauliodes rastricornis,extBlankE08,32,BOLD:AAO2062
