,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
1,OTU170_suspect_mock_chimera,US,0.9844,BOLD:ACD0295.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-01,25,BOLD:ACD0295
2,OTU253_suspect_mock_chimera,GS,98.2,BOLD:ABA8301.5,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,NA,NA,une-01,38,BOLD:ABA8301
3,OTU271_suspect_mock_chimera,GS,100.0,BOLD:ABA5203.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia frontalis,une-01,26,BOLD:ABA5203
4,OTU274_suspect_mock_chimera,US,0.9967,BOLD:AAX9373.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,une-01,71,BOLD:AAX9373
5,OTU423_suspect_mock_chimera,GS,100.0,BOLD:AAA8153.1,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Platycentropus,Platycentropus radiatus,une-01,53,BOLD:AAA8153
6,OTU663,US,0.9936,BOLD:AAH3190.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,une-01,30,BOLD:AAH3190
7,OTU706_suspect_mock_chimera,SS,1.0000,BOLD:ABV4420.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-01,58,BOLD:ABV4420
8,OTU846_suspect_mock_variant,GS,100.0,BOLD:AAB6253.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Depressaria,Depressaria radiella,une-01,39,BOLD:AAB6253
9,OTU46_suspect_mock_chimera,GS,99.4,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,une-02,13516,BOLD:AAA2247
10,OTU51_suspect_mock_chimera,GS,100.0,BOLD:AAA2482.2,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,une-02,5711,BOLD:AAA2482
