SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,Species,AgeClass,Sex,Date,NestBox,uneID,Sequenced,onclick
une-01,OTU170_suspect_mock_chimera,US,0.9844,BOLD:ACD0295.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,25,BOLD:ACD0295,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACD0295
une-01,OTU253_suspect_mock_chimera,GS,98.2,BOLD:ABA8301.5,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,NA,NA,38,BOLD:ABA8301,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA8301
une-01,OTU271_suspect_mock_chimera,GS,100,BOLD:ABA5203.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia frontalis,26,BOLD:ABA5203,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA5203
une-01,OTU274_suspect_mock_chimera,US,0.9967,BOLD:AAX9373.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,71,BOLD:AAX9373,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAX9373
une-01,OTU423_suspect_mock_chimera,GS,100,BOLD:AAA8153.1,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,Platycentropus,Platycentropus radiatus,53,BOLD:AAA8153,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA8153
une-01,OTU663,US,0.9936,BOLD:AAH3190.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,30,BOLD:AAH3190,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAH3190
une-01,OTU706_suspect_mock_chimera,SS,1,BOLD:ABV4420.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,58,BOLD:ABV4420,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABV4420
une-01,OTU846_suspect_mock_variant,GS,100,BOLD:AAB6253.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Depressaria,Depressaria radiella,39,BOLD:AAB6253,TRSW,chicks,U,42923,blue_field_4,1,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB6253
une-02,OTU46_suspect_mock_chimera,GS,99.4,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,13516,BOLD:AAA2247,TRSW,chicks,U,42917,sokokis_7,2,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2247
une-02,OTU51_suspect_mock_chimera,GS,100,BOLD:AAA2482.2,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Mythimna,Mythimna unipuncta,5711,BOLD:AAA2482,TRSW,chicks,U,42917,sokokis_7,2,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2482
