species_name,counts
Ablabesmyia annulata,1
Acleris schalleriana,1
Acleris subnivana,1
Acossus centerensis,1
Acrolophus popeanella,1
Admontia grandicornis,1
Aedes canadensis,2
Aedes cinereus,1
Aedes excrucians,11
Aedes hexodontus,6
Aedes nigromaculis,3
Aedes provocans,4
Aedes ventrovittis,3
Agarodes distinctus,1
Agonopterix thelmae,1
Agonum muelleri,1
Agriphila ruricolellus,1
Agrotis venerabilis,2
Agrypnia vestita,1
Allonemobius fasciatus,1
Amara aenea,3
Amorbia emigratella,1
Amorbia humerosana,1
Ampedus melanotoides,1
Amphimallon majale,3
Amphinemura wui,1
Amphipyra pyramidoides,3
Anisodactylus discoideus,3
Anisodactylus nigrita,1
Anisodactylus rusticus,3
Anisota senatoria,1
Antaeotricha leucillana,1
Antaeotricha schlaegeri,3
Antocha saxicola,3
Apache degeerii,2
Aphrophora saratogensis,1
Arctosa emertoni,1
Argyrotaenia alisellana,1
Argyrotaenia ljungiana,2
Argyrotaenia quercifoliana,2
Arogalea cristifasciella,1
Arrhenodes minutus,1
Asaphocrita aphidiella,3
Athetis thoracica,1
Athous acanthus,1
Athous brightwelli,2
Atrichopogon fusculus,5
Atylotus sublunaticornis,2
Axarus festivus,1
Bathyphantes canadensis,1
Bellardia vulgaris,1
Besma endropiaria,1
Brachydeutera argentata,1
Caenis punctata,3
Calamosternus granarius,1
Caloptilia alnivorella,2
Caloptilia bimaculatella,1
Cantharis rufa,1
Capnochroa fuliginosa,1
Capsus ater,1
Catastega aceriella,3
Cephaloon lepturoides,4
Ceraclea mentiea,1
Ceraclea transversa,1
Ceratomia undulosa,1
Chaoborus punctipennis,3
Cheumatopsyche campyla,2
Chimarra socia,1
Chionodes mediofuscella,1
Chionodes obscurusella,2
Chironomus acidophilus,4
Chironomus decorus,1
Chironomus harpi,1
Choristoneura fractivittana,1
Choroterpes basalis,1
Chromagrion conditum,1
Chrysoesthia sexguttella,1
Chrysopa oculata,1
Chrysopilus proximus,1
Chrysopilus quadratus,2
Chrysoteuchia topiarius,3
Chymomyza amoena,4
Cladara limitaria,2
Clepsis melaleucanus,1
Clepsis persicana,1
Clepsis virescana,1
Cnephasia stephensiana,1
