OTUid,extBlankA07,extBlankB11,extBlankC10,extBlankE08,extBlankH07,extBlankH08,extBlankH09,extBlankH10,extBlankH11,mockIM4pPerlut,nosample,solutBlankF02,solutBlankG04,une-01,une-02,une-03,une-04,une-05,une-06,une-07,une-09,une-10,une-11,une-12,une-13,une-14,une-15,une-16,une-17,une-18,une-19,une-20,une-21,une-22,une-23,une-24,une-25,une-26,une-27,une-28,une-29,une-30,une-31,une-32,une-33,une-34,une-35,une-36,une-37,une-38,une-39,une-40,une-41,une-42,une-43,une-44,une-45,une-46,une-47,une-48,une-49,une-50,une-51,une-52,une-53,une-54,une-55,une-56,une-57,une-58a,une-58b,une-58c,une-60,une-61,une-62,une-63,une-64,une-65,une-66,une-67,une-68,une-69,une-71,une-72,une-73,une-74,une-76,une-mockIM4
Mock-Harmonia-axyridis_pident=97.8_OTU445,0,0,0,172,31,90,62,0,133,0,0,0,0,26,0,0,0,0,0,0,0,0,188,12,0,0,0,0,0,0,0,164,76,0,0,0,0,0,0,0,89,95,267,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,131,44,0,0,1,0,0,0,0,102,15,60,0,0,0,0,0,1,0,162,0,100,0,0,0,7,50768
MockIM3_pident=100.0_OTU13,0,0,0,0,90,0,0,63,0,0,0,1,72,153,0,137,0,35,0,0,0,0,197,48,29,0,0,0,0,0,0,0,176,0,109,0,0,62,0,13,0,44,221,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,1,155,0,182,0,0,0,1,0,0,0,92,33,27,0,14,0,1,58745
MockIM4_pident=100.0_OTU20,0,1,0,0,0,0,0,0,84,0,0,0,0,80,0,0,50,0,0,0,0,178,14,0,1,235,0,0,40,0,23,133,2,0,0,0,0,0,0,2,2173,0,364,77,0,48,0,0,0,0,0,0,56,0,0,0,0,0,0,190,0,0,25,0,0,0,1,0,0,0,74,0,50,133,1,0,0,0,0,0,0,71,40,0,460,0,0,49840
MockIM5_pident=100.0_OTU11,0,1,0,0,0,0,0,0,210,0,84,0,0,150,0,148,0,0,0,8,120,54,54,0,0,31,0,0,0,0,0,0,349,1,0,0,0,0,0,0,55,0,247,0,0,0,76,0,0,0,0,1,0,0,72,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,106,0,0,0,0,0,0,0,23,0,0,0,0,61881
MockIM7_pident=100.0_OTU30,0,74,0,0,0,0,0,0,0,0,0,0,0,30,0,0,105,0,0,0,0,179,118,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,11,0,0,0,0,75,0,0,0,0,0,0,0,49,0,0,0,0,0,0,3,0,0,34713
MockIM10_pident=100.0_OTU18,0,0,0,0,0,0,186,0,1,1,1,0,55,359,0,49,0,0,0,1,0,91,148,60,0,0,1,0,0,0,24,120,173,0,64,0,0,0,0,0,0,1,380,0,0,52,0,0,0,0,0,1,14,0,0,0,0,0,0,0,93,0,62,0,0,0,0,0,1,0,0,0,166,0,0,26,0,0,0,0,61,36,53,0,0,0,0,55104
MockIM15_pident=99.4_OTU27,0,0,0,0,0,120,0,0,0,0,189,0,0,136,0,0,90,0,0,0,0,88,0,0,0,0,0,0,0,0,17,322,32,0,0,0,0,0,74,0,0,0,136,0,0,0,0,0,0,0,0,46,29,0,0,0,0,0,0,54,0,0,0,0,38,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,58,51,0,0,0,0,0,43191
MockIM16_pident=100.0_OTU17,50,0,0,0,0,0,0,0,155,0,0,0,0,94,0,0,0,0,0,61,55,15,198,25,31,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,226,0,0,0,55,0,0,0,0,0,104,0,50,83,0,0,0,0,0,46,32,0,40,0,0,57,0,40,0,0,29,0,0,0,0,36,0,0,0,71,16,0,0,0,0,56213
MockIM20_pident=100.0_OTU8,0,157,0,0,0,186,169,67,0,0,0,0,107,194,0,1,0,0,0,0,56,0,68,0,36,0,79,94,0,0,0,80,80,50,0,0,94,0,0,2,92,0,291,95,0,0,0,0,0,0,0,94,85,0,0,35,71,0,0,61,0,11,48,0,0,0,0,0,0,111,0,10,79,0,50,0,0,123,0,0,53,106,42,0,53,0,0,66401
MockIM23_pident=100.0_OTU14,0,0,34,0,0,0,0,106,0,0,0,0,0,137,0,64,0,0,0,0,0,193,60,0,0,57,0,0,8,52,0,231,146,0,0,126,0,0,0,0,0,177,170,2,0,0,40,0,0,41,0,0,72,0,39,0,0,0,0,0,0,49,0,0,0,0,0,0,1,69,0,0,45,0,0,0,0,0,0,104,111,35,0,0,0,0,0,57280
MockIM27_pident=100.0_OTU9,0,0,64,0,91,37,0,0,0,0,0,0,0,337,0,0,146,50,0,1,0,135,195,0,0,0,73,0,53,0,36,87,287,2,66,0,0,0,0,17,0,1,243,0,32,0,0,1,0,0,0,0,0,85,0,0,1,0,0,0,0,79,60,1,97,1,0,0,0,112,0,0,270,0,53,0,0,0,0,0,0,0,16,0,1,0,0,63916
MockIM28_pident=100.0_OTU10,12,0,0,0,0,92,54,0,0,0,0,0,0,292,0,0,0,0,0,2,0,0,202,0,0,0,0,0,32,305,1,63,207,0,0,0,0,0,0,0,0,1,256,0,0,0,0,0,0,0,0,0,57,0,0,87,0,0,0,74,0,0,68,0,0,0,0,0,0,123,0,0,281,0,84,0,0,0,0,80,45,35,14,0,0,0,0,62717
MockIM29_pident=100.0_OTU16,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,71,0,362,44,0,0,0,39,0,0,37,67,261,0,66,0,0,0,0,0,0,0,269,31,76,0,0,0,0,0,0,177,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,132,0,91,0,0,0,1,0,0,1,44,0,2,0,0,57027
MockIM32_pident=100.0_OTU7,172,0,0,0,136,0,110,1,202,0,0,0,0,103,0,0,143,0,0,0,115,82,88,0,55,0,0,0,0,0,42,216,92,0,0,0,0,1,0,0,0,152,389,0,1,0,0,0,74,54,0,0,37,0,246,0,113,0,0,0,0,0,42,58,0,0,0,0,0,0,0,0,263,0,2,0,0,89,0,0,0,0,52,0,57,0,0,70571
MockIM33_pident=100.0_OTU22,0,0,0,0,0,0,79,0,0,0,138,0,0,71,0,0,17,0,0,0,0,0,86,0,2,0,0,2,0,29,0,89,82,0,0,0,0,0,0,0,42,44,146,0,0,0,0,0,0,1,0,0,146,32,0,0,0,77,0,31,0,0,0,2,0,1,0,0,0,0,0,0,63,0,0,1,0,0,0,24,40,29,45,0,0,0,0,50822
MockIM39_pident=100.0_OTU25,0,86,0,1,0,84,5,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,197,0,8,0,1,0,13,0,0,69,17,0,0,0,0,0,0,1,0,0,176,0,6,0,0,0,0,0,0,0,72,0,1,69,0,0,0,0,34,123,31,0,32,0,0,0,0,0,0,0,35,0,0,0,0,0,1,88,80,1,2,0,0,0,0,47017
MockIM40_pident=100.0_OTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,92,0,49,0,0,0,0,0,0,152,144,0,0,0,105,0,0,0,0,0,172,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,10,0,53,0,27,0,0,0,0,0,44,0,114,0,0,0,0,0,0,104,0,0,20,0,0,0,0,32166
MockIM42_pident=100.0_OTU12,0,197,97,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,43,0,0,68,7,0,1,0,2,0,226,42,0,0,0,0,1,0,0,130,0,187,0,0,0,0,0,0,0,0,0,53,0,124,0,0,0,0,75,0,0,30,0,0,0,0,0,0,0,0,58,30,0,0,135,0,0,0,0,42,129,25,0,54,0,0,57637
MockIM44_pident=100.0_OTU29,0,1,0,0,0,20,73,92,0,0,0,0,0,79,0,1,0,0,0,0,0,168,179,0,0,0,0,0,0,0,0,23,180,0,0,0,0,0,0,0,0,0,108,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,88,1,0,0,0,0,0,0,0,75,0,30,0,0,0,0,0,0,0,36,56,67,0,0,0,0,40021
