SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Location,CollectDate,WeekOfYear,onclick
rut16-1382,OTU2,GS,100.0,BOLD:AAC4559.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Maccaffertium,Maccaffertium mediopunctatum,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC4559
rut16-1382,OTU43,GS,100.0,BOLD:AAF8995.4,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,Antocha saxicola,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAF8995
rut16-1382,OTU70,GS,100.0,BOLD:AAG0920.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Tribelos,NA,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG0920
rut16-1382,OTU72,SS,1.0000,BOLD:AAA2383.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2383
rut16-1382,OTU89,GS,100.0,BOLD:AAA3680.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche morosa,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3680
rut16-1382,OTU94,GS,100.0,BOLD:AAA3678.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche morosa,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3678
rut16-1382,OTU106,GS,100.0,BOLD:AAB6239.1,Animalia,Arthropoda,Insecta,Trichoptera,Dipseudopsidae,Phylocentropus,Phylocentropus placidus,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB6239
rut16-1382,OTU124,GS,100.0,BOLD:AAG0991.2,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,NA,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG0991
rut16-1382,OTU137,GS,100.0,BOLD:AAJ0111.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes sevir,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAJ0111
rut16-1382,OTU147,US,0.9936,BOLD:AAI0114.1,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,TWS,5/10/16,20,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAI0114
