SeqIDname	Location Name	Collection Date	Week of Year
rut16.1382	TWS	5/10/16	20
rut16.1383	TWS	8/4/16	32
rut16.1384	TWS	9/1/16	36
rut16.1385	TWS	9/27/16	40
rut16.1386	TWS	9/15/16	38
rut16.1387	TWS	4/26/16	18
rut16.1388	TWS	7/21/16	30
rut16.1389	TWS	5/27/16	22
rut16.1390	TWS	7/6/16	28
rut16.1391	TWS	6/23/16	26
rut16.1392	TWS	8/16/16	34
rut16.1393	TWS	6/11/16	24
rut16.1394	DM	5/7/16	19
rut16.1395	DM	6/2/16	23
rut16.1396	DC	4/26/16	18
rut16.1397	DC	5/10/16	20
rut16.1398	DC	5/27/16	22
rut16.1399	DC	6/11/16	24
rut16.1400	DC	6/23/16	26
rut16.1401	DC	7/6/16	28
rut16.1402	DC	7/21/16	30
rut16.1403	DC	8/4/16	32
rut16.1404	DC	8/16/16	34
rut16.1405	DC	9/1/16	36
rut16.1406	SB	5/7/16	19
rut16.1407	SB	5/20/16	21
rut16.1408	SB	6/2/16	23
rut16.1409	SB	6/15/16	25
rut16.1410	SB	6/30/16	27
rut16.1411	SB	7/16/16	29
rut16.1412	SB	7/27/16	31
rut16.1413	SB	8/9/16	33
rut16.1414	SB	8/21/16	34
rut16.1415	SB	9/5/16	37
rut16.1416	SB	9/17/16	38
rut16.1417	RK	4/22/16	17
rut16.1418	RK	5/7/16	19
rut16.1419	RK	5/20/16	21
rut16.1420	RK	6/2/16	23
rut16.1421	RK	6/15/16	25
rut16.1422	RK	6/30/16	27
rut16.1423	RK	7/16/16	29
rut16.1424	RK	7/27/16	31
rut16.1425	RK	8/9/16	33
rut16.1426	RK	8/21/16	34
rut16.1427	RK	9/5/16	37
rut16.1428	RK	9/17/16	38
rut16.1429	JH	4/22/16	17
rut16.1430	JH	5/7/16	19
rut16.1431	JH	5/20/16	21
rut16.1432	JH	6/2/16	23
rut16.1433	JH	6/15/16	25
rut16.1434	JH	6/30/16	27
rut16.1435	JH	7/16/16	29
rut16.1436	JH	7/27/16	31
rut16.1437	JH	8/9/16	33
rut16.1438	JH	8/21/16	34
rut16.1439	JH	9/5/16	37
rut16.1440	JH	9/17/16	38
rut16.1441	JH	9/28/16	40
rut16.1442	JH	10/11/16	42
rut16.1443	BB	5/10/16	20
rut16.1444	BB	5/27/16	22
rut16.1445	SP	4/26/16	18
rut16.1446	SP	5/10/16	20
rut16.1447	SP	5/27/16	22
rut16.1448	SP	6/11/16	24
rut16.1449	SP	6/23/16	26
rut16.1450	SP	7/6/16	28
rut16.1451	SP	7/21/16	30
rut16.1452	AK	4/26/16	18
rut16.1453	AK	5/10/16	20
rut16.1454	AK	5/27/16	22
rut16.1455	AK	6/11/16	24
rut16.1456	AK	6/23/16	26
rut16.1457	AK	7/6/16	28
rut16.1458	ZG	6/11/16	24
rut16.1459	ZG	6/23/16	26
rut16.1460	ZG	7/6/16	28
rut16.1461	ZG	7/21/16	30
rut16.1462	ZG	8/4/16	32
rut16.1463	ZG	8/16/16	34
rut16.1464	ZG	9/1/16	36
rut16.1465	SD	4/22/16	17
rut16.1466	SD	5/20/16	21
rut16.1467	SD	6/2/16	23
rut16.1468	SD	6/15/16	25
rut16.1469	SD	6/30/16	27
rut16.1470	SD	7/16/16	29
rut16.1471	SD	7/27/16	31
rut16.1472	SD	8/9/16	33
rut16.1473	SD	9/6/16	37
rut16.1474	SD	9/17/16	38
rut16.1475	SD	9/28/16	40
rut16.1476	SD	10/11/16	42
rut16.1477	DR	4/26/16	18
rut16.1478	DR	5/10/16	20
rut16.1479	TWB	9/15/16	38
rut16.1480	HB	8/23/16	35
rut16.negA12			
rut16.negB12			
rut16.negC12			
rut16.negD12			
rut16.negG07			
rut16.negH07			
