#OTU ID	rut16-1382	rut16-1383	rut16-1384	rut16-1385	rut16-1386	rut16-1387	rut16-1388	rut16-1389	rut16-1390	rut16-1391	rut16-1392	rut16-1393	rut16-1394	rut16-1395	rut16-1396	rut16-1397	rut16-1398	rut16-1399	rut16-1400	rut16-1401	rut16-1402	rut16-1403	rut16-1404	rut16-1405	rut16-1406	rut16-1407	rut16-1408	rut16-1409	rut16-1410	rut16-1411	rut16-1412	rut16-1413	rut16-1414	rut16-1415	rut16-1416	rut16-1417	rut16-1418	rut16-1419	rut16-1420	rut16-1421	rut16-1422	rut16-1423	rut16-1424	rut16-1425	rut16-1426	rut16-1427	rut16-1428	rut16-1429	rut16-1430	rut16-1431	rut16-1432	rut16-1433	rut16-1434	rut16-1435	rut16-1436	rut16-1437	rut16-1438	rut16-1439	rut16-1440	rut16-1441	rut16-1442	rut16-1443	rut16-1444	rut16-1445	rut16-1446	rut16-1447	rut16-1448	rut16-1449	rut16-1450	rut16-1451	rut16-1452	rut16-1453	rut16-1454	rut16-1455	rut16-1456	rut16-1457	rut16-1458	rut16-1459	rut16-1460	rut16-1461	rut16-1462	rut16-1463	rut16-1464	rut16-1465	rut16-1466	rut16-1467	rut16-1468	rut16-1469	rut16-1470	rut16-1471	rut16-1472	rut16-1473	rut16-1474	rut16-1475	rut16-1476	rut16-1477	rut16-1478	rut16-1479	rut16-1480	rut16-negA12	rut16-negB12	rut16-negC12	rut16-negD12	rut16-negG07	Taxonomy
Mock-Harmonia-axyridis_pident=100.0_OTU230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	GS|98.3|BOLD:ABW9177.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Tenebrionidae,g:Corticeus,s:Corticeus bicolor
MockIM3_pident=100.0_OTU10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAA7067.58;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Culicidae,g:Aedes,s:Aedes vexans
MockIM4_pident=100.0_OTU15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	GSL|100.0|BOLD:AAA3364.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Noctuidae,g:Agrotis
MockIM5_pident=100.0_OTU14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAA8810.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Aphididae,g:Aphis,s:Aphis helianthi
MockIM7_pident=100.0_OTU27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	GS|99.4|BOLD:ADG5234.4;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Leptoceridae,g:Ceraclea,s:Ceraclea maculata
MockIM10_pident=100.0_OTU20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	GS|100.0|BOLD:AAA1517.2;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Tortricidae,g:Choristoneura,s:Choristoneura rosaceana
MockIM15_pident=99.4_OTU22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAD1808.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Bombyliidae,g:Lepidophora,s:Lepidophora lutea
MockIM16_pident=100.0_OTU13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAA0399.6;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Crambidae,g:Elophila,s:Elophila obliteralis
MockIM20_pident=100.0_OTU6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAB3533.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Geometridae,g:Haematopis,s:Haematopis grataria
MockIM23_pident=100.0_OTU8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	GS|98.3|BOLD:ABW9177.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Tenebrionidae,g:Corticeus,s:Corticeus bicolor
MockIM27_pident=100.0_OTU16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	GS|98.9|BOLD:AAL8071.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Hydrophilidae,g:Cercyon,s:Cercyon praetextatus
MockIM29_pident=100.0_OTU28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAA4222.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Erebidae,g:Hypena,s:Hypena scabra
MockIM32_pident=100.0_OTU12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|99.4|BOLD:AAK9206.1;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Heptageniidae,g:Leucrocuta,s:Leucrocuta maculipennis
MockIM33_pident=100.0_OTU49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|98.9|BOLD:AAH7221.2;k:Animalia,p:Arthropoda,c:Insecta,o:Neuroptera,f:Mantispidae,g:Dicromantispa,s:Dicromantispa sayi
MockIM39_pident=100.0_OTU18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:ACF6671.1;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Chrysomelidae,g:Paria,s:Paria fragariae
MockIM40_pident=100.0_OTU25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	US|0.9715|BOLD:AAE0979.1;k:Animalia,p:Arthropoda,c:Insecta,o:Orthoptera
MockIM42_pident=100.0_OTU11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	GS|98.3|BOLD:AAI4346.3;k:Animalia,p:Arthropoda,c:Arachnida,o:Opiliones,f:Phalangiidae,g:Phalangium,s:Phalangium opilio
