species_name,counts
Acanalonia conica,1
Acentrella turbida,1
Acleris schalleriana,2
Acleris semipurpurana,3
Acrolophus arcanella,1
Acrolophus popeanella,1
Acroneuria abnormis,1
Actias luna,1
Aedes japonicus,1
Aedes provocans,2
Aedes ventrovittis,1
Agonopterix thelmae,1
Agriphila ruricolellus,1
Agrypnia vestita,3
Amphipyra pyramidoides,1
Antocha saxicola,2
Archips grisea,1
Argyrotaenia ljungiana,1
Argyrotaenia mariana,1
Argyrotaenia quercifoliana,2
Asaphocrita aphidiella,1
Athous brightwelli,1
Baetis tricaudatus,1
Caenis amica,1
Caenis punctata,8
Caloptilia alnivorella,2
Caloptilia negundella,1
Carria dreisbachi,1
Catastega aceriella,2
Chaoborus punctipennis,2
Chauliodes pectinicornis,14
Chauliodes rastricornis,6
Cheumatopsyche campyla,3
Chimarra aterrima,1
Chionodes mediofuscella,1
Chionodes pereyra,1
Chionodes sevir,1
Chironomus decorus,1
Chrysoteuchia topiarius,1
Chymomyza amoena,1
Cinara watsoni,2
Cladura flavoferruginea,1
Clogmia albipunctata,2
Cochylis hospes,1
Coelostathma discopunctana,1
Coenipeta bibitrix,1
Coleotechnites florae,1
Cricotopus festivellus,1
Cryptarcha ampla,1
Cryptomeigenia muscoides,1
Culex quinquefasciatus,1
Culex salinarius,2
Cyrtoxipha columbiana,2
Dendroides canadensis,7
Dicranomyia (Dicranomyia) longipennis,1
Dicranomyia (Idiopyga) halterella,2
Dicranomyia frontalis,1
Dolichovespula maculata,1
Donacaula melinella CS,1
Donacaula pallulellus,1
Elater abruptus,1
Ephemera varia,1
Epiblema otiosana,1
Epicallima argenticinctella,1
Epinotia solicitana,1
Erioptera caliptera,3
Erioptera septemtrionis,1
Eucosma parmatana,1
Eulithis gracilineata,1
Euphylidorea platyphallus,1
Eupsilia vinulenta,1
Eurylophella poconoensis,4
Fannia canicularis,1
Geina sheppardi,1
Goera calcarata,2
Greenarus thoracicus,1
Gretchena amatana,3
Gyponana extenda,1
Gyponana gladia,1
Harpalus pensylvanicus,4
Helicopsyche borealis,4
Helius flavipes,1
Hemicrepidius memnonius,5
Hydropsyche betteni,1
Hydropsyche leonardi,2
Hydropsyche morosa,8
Hydropsyche phalerata,1
Hydropsyche slossonae,1
Hydropsyche sparna,1
Hydropsyche venularis,1
Hypena madefactalis,1
Hyperlasion wasmanni,1
Idia concisa,1
Isomira sericea,1
Leptopeza compta,1
Leucrocuta aphrodite,1
Leucrocuta minerva,1
Limnephilus submonilifer,2
Limonia indigena,1
Lygus lineolaris,1
Maccaffertium mediopunctatum,16
Maccaffertium mexicanum,1
Maccaffertium modestum,1
Maccaffertium terminatum,3
Malacosoma americanum,4
Malacosoma disstria,2
Melanotus decumanus,1
Melanotus hyslopi,9
Melanotus similis,7
Metcalfa pruinosa,1
Metylophorus novaescotiae,3
Micromus subanticus,1
Microtendipes pedellus,3
Molophilus forcipulus,1
Necrodes surinamensis,1
Nectopsyche candida,1
Nephrotoma alterna,2
Nephrotoma macrocera,1
Opogona omoscopa,1
Orthocladius mallochi,1
Orthocladius rivicola,1
Palpita aenescentalis,1
Palpita magniferalis,1
Pandemis limitata,1
Pelochrista agricolana,1
Pelochrista derelicta,1
Pelochrista womonana,1
Phaecasiophora niveiguttana,1
Philodromus keyserlingi,1
Phryganea cinerea,3
Phryganea sayi,1
Phyllonorycter propinquinella,1
Phyllophaga anxia,3
Phyllophaga crenulata,2
Phyllophaga ephilida,1
Phyllophaga tristis,2
Phylocentropus placidus,6
Plagiometriona clavata,1
Platycentropus radiatus,2
Polistes aurifer,3
Polypedilum convictum,1
Praxis aterrima,1
Protoptila maculata,2
Pseudexentera cressoniana,1
Pseudexentera knudsoni,1
Pseudexentera maracana,1
Pseudolimnophila inornata,1
Pseudolimnophila luteipennis,9
Pseudotelphusa quercinigracella,1
Psilocorsis reflexella,3
Psychoda alternata,1
Psychomyia flavida,2
Rhyacophila formosa,1
Sericaglaea signata,1
Sialis concava,2
Sitotroga cerealella,3
Stenacron interpunctatum,6
Stenolophus ochropezus,1
Stenonema femoratum,3
Sympycnus lineatus,1
Tabanus similis,1
Technomyrmex albipes,1
Therion circumflexum,1
Tipula mallochi,1
Toxomerus marginatus,1
Triaenodes flavescens,1
