SampleID,SiteNumber,CollectionDate,WeekOfYear,NetNumber,BirdSpecies,Ordercaught,Description,Notes
sea.1,5,5/17/14,20,1,luwa,1,sea01.05n1_luwa1_051714,noRecord
sea.2,1,5/15/14,20,2,yewa,1,sea01.01n2_yewa1_051514,noRecord
sea.3,10,5/21/14,21,2,luwa,1,sea01.10n2_luwa1r1_052114,noRecord
sea.01A05,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.a4,noRecord
sea.4,21,6/11/14,24,3,yewa,1,sea01.21n03_yewa1_061114,noRecord
sea.5,5,7/19/14,29,14,ywar,1,sea01.05n14_ywar1_071914,noRecord
sea.6,2,6/13/14,24,6,luwa,1,sea01.02n06_luwa1_061314,noRecord
sea.7,2,7/8/14,28,8,luwa,1,sea01.02n08_luwa1_070814,noRecord
sea.01A09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.a9,noRecord
sea.8,21,7/17/14,29,7,luwa,3,sea01.21n07_luwa3_071714,noRecord
sea.9,10,7/22/14,30,6,ywar,1,sea01.10n06_ywar1_072214,noRecord
sea.10,2,7/18/14,29,11,ybch,1,sea01.02n11_ybch1_071814,noRecord
sea.11,1,5/15/14,20,1,luwa,1,sea01.01n1_luwa1_051514,noRecord
sea.12,15,5/20/14,21,2,luwa,1,sea01.15n2_luwa1_052014,noRecord
sea.13,11,6/2/14,23,4,ywar,2,sea01.11n04_ywar2_060214,noRecord
sea.01B04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.b4,noRecord
sea.14,21,6/11/14,24,3,luwa,1,sea01.21n03_luwa1_061114,noRecord
sea.15,5,6/23/14,26,10,ywar,2,sea01.05n10_ywar2_062314,noRecord
sea.16,2,6/13/14,24,3,luwa,1,sea01.02n03_luwa1_061314,noRecord
sea.17,2,7/8/14,28,7,luwa,1,sea01.02n07_luwa1_070814,noRecord
sea.01B09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.b9,noRecord
