#OTU ID	sea-10	sea-20	sea-26	sea-30	sea-36	sea-41	sea-51	sea-82	sea-115	sea-123	sea-134	sea-156	sea-164	sea-171
MockIM6_pident=100.0_OTU16	0	0	0	0	0	0	0	76	0	0	0	0	0	0
MockIM15_pident=99.4_OTU12	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MockIM21_pident=97.8_OTU7	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MockIM39_pident=100.0_OTU10	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MockIM49_pident=100.0_OTU18	0	0	0	0	0	0	0	0	0	0	9	0	0	0
OTU1	30582	6351	0	5397	0	1665	1723	20504	622	0	0	15	12	8
OTU4	0	0	74	0	12177	20	0	0	0	0	0	0	0	0
OTU11	0	0	0	0	0	0	0	0	0	0	8361	0	0	0
OTU13	7277	989	0	2092	0	497	1145	1684	0	0	0	0	0	0
OTU14	4809	876	0	688	0	78	296	0	0	0	0	0	1	0
OTU15	0	77	6405	0	0	0	0	42	0	0	0	0	0	0
OTU17	0	68	0	1885	0	2585	287	0	0	0	0	0	2	0
OTU19	2818	97	0	918	0	271	91	0	0	0	0	0	0	0
OTU20	0	0	0	0	0	0	0	0	4	0	0	0	1	3215
OTU21	0	0	0	0	0	0	0	0	0	2346	0	0	0	0
OTU22	1412	289	0	155	0	22	5	0	0	0	0	0	0	0
OTU23	0	0	0	0	0	0	0	1769	0	0	0	1	0	0
OTU24	0	0	0	0	0	0	87	0	0	0	0	0	3	1141
OTU25	0	297	0	487	0	65	193	0	0	0	0	0	0	0
OTU26	0	0	0	0	0	0	0	0	627	959	0	272	0	140
OTU27	630	57	0	147	0	24	0	0	0	0	0	0	0	0
OTU29	0	0	0	0	0	0	0	0	0	0	0	0	0	747
OTU30	0	0	296	335	0	0	0	0	0	0	0	146	0	0
OTU31	92	163	0	259	0	0	0	67	0	0	0	0	0	0
OTU32	734	181	0	0	0	0	0	0	0	0	0	0	0	0
OTU33	0	266	0	0	7	12	0	0	174	555	0	0	0	0
OTU34	0	0	0	0	0	0	0	0	547	0	0	0	0	0
OTU35	1270	226	0	256	0	130	0	233	0	0	0	1	0	0
OTU36	0	0	0	0	0	0	0	0	467	0	0	0	0	0
OTU37	461	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU38	0	0	0	418	0	0	0	0	0	0	0	0	0	0
OTU39	471	57	0	0	0	83	0	0	0	0	0	0	0	0
OTU40	0	0	0	0	0	0	0	0	337	0	0	0	0	3
OTU41	136	143	0	76	0	0	0	59	0	0	0	0	0	0
OTU42	320	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU43	177	94	0	0	0	0	0	46	0	0	0	0	0	0
OTU44	0	0	0	0	0	0	0	0	0	0	305	0	0	0
OTU45	225	0	0	0	0	0	0	71	0	0	0	0	0	0
OTU46	321	41	0	59	0	0	0	62	0	0	0	0	0	0
OTU47	493	67	0	0	0	0	0	40	0	0	0	0	0	0
OTU48	0	0	0	0	0	0	0	0	0	274	0	251	4	0
OTU49	0	0	0	324	0	0	0	0	0	0	0	0	0	0
OTU50	0	0	0	0	0	0	0	0	0	0	0	249	0	0
OTU51	0	0	0	0	0	0	0	0	0	0	0	0	580	0
OTU52	0	0	62	0	75	0	0	35	0	18	21	1	1	0
OTU53	53	121	0	0	0	0	0	38	0	0	0	0	1	0
OTU54	160	0	0	142	0	0	0	0	0	0	0	0	0	0
OTU55	32	47	0	65	0	49	74	0	0	0	0	9	25	23
OTU56	166	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU57	0	0	0	0	0	0	0	0	0	0	0	0	0	221
OTU58	0	0	0	0	0	0	0	0	0	0	0	0	0	153
OTU59	751	77	0	145	0	10	0	92	0	0	0	0	0	0
OTU60	0	0	0	0	109	0	0	0	0	0	19	0	0	0
OTU61	0	0	0	0	126	0	0	0	0	0	0	0	0	0
OTU62	0	11	0	29	0	18	20	0	0	0	0	4	2	10
OTU63	0	0	0	0	111	0	0	0	0	0	0	0	0	0
OTU64	0	10	0	11	0	18	16	0	0	0	0	0	5	5
OTU65	0	0	0	0	0	80	0	28	0	0	0	0	0	0
OTU66	0	8	0	15	0	13	13	0	0	0	0	0	2	6
OTU67	0	0	0	0	0	0	102	0	0	0	0	0	0	0
OTU68	0	20	0	19	0	9	21	0	0	0	0	1	8	4
OTU69	0	24	0	131	0	0	0	0	0	0	0	0	0	0
OTU70	0	0	0	0	0	0	0	89	0	0	0	0	0	0
OTU71	0	0	0	0	0	0	87	0	0	0	0	0	0	46
OTU72	0	0	0	85	0	0	4	0	9	0	0	0	0	0
OTU73	60	0	0	0	0	0	0	52	0	0	0	0	0	0
OTU74	0	85	0	0	0	0	0	0	0	0	0	0	0	0
OTU75	0	80	0	0	0	0	0	0	0	0	0	0	0	0
OTU76	79	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU77	0	49	0	0	0	0	21	0	0	0	0	0	0	0
OTU78	0	0	0	0	0	0	0	0	0	0	122	0	0	0
OTU79	0	0	0	72	0	0	0	0	0	0	0	0	0	0
OTU80	0	8	0	13	0	18	17	0	0	0	0	0	3	6
OTU81	0	0	0	66	0	0	0	24	0	0	0	0	0	0
OTU82	0	0	0	0	0	0	0	0	63	0	0	0	0	0
OTU83	60	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU84	0	0	0	0	60	0	0	0	0	0	0	0	0	0
OTU85	0	0	0	0	0	0	0	0	0	0	0	0	0	60
OTU86	56	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU87	0	0	0	0	0	0	0	53	0	0	0	0	0	0
OTU89	0	9	0	0	0	9	6	0	0	0	0	0	5	0
OTU90	0	0	0	0	0	0	0	0	0	0	0	0	0	192
OTU91	0	0	34	0	0	0	0	0	0	11	0	0	0	0
OTU92	0	0	0	0	31	0	0	0	0	0	11	19	0	0
OTU93	0	0	0	0	24	0	0	0	0	0	0	0	0	0
OTU94	0	0	0	0	21	0	0	0	0	0	9	3	0	0
OTU95	38	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU96	0	0	0	0	34	0	0	0	2	3	0	0	0	0
OTU97	0	0	0	0	13	0	0	0	0	0	7	5	0	0
OTU98	0	0	31	0	0	0	0	0	0	0	0	0	0	0
OTU99	130	67	0	24	0	0	19	0	0	0	0	0	0	0
OTU100	0	0	0	0	0	0	0	0	4	0	0	24	0	0
OTU101	0	0	0	0	0	0	0	0	27	0	0	0	0	0
OTU102	0	0	0	0	26	0	0	0	0	0	0	0	0	0
OTU103	0	0	0	8	0	5	0	0	0	0	0	0	4	0
OTU106	0	0	0	0	0	0	0	0	10	0	0	9	1	0
OTU107	0	0	11	0	0	0	0	0	0	7	0	0	0	0
OTU108	0	0	17	0	0	0	0	0	0	3	0	0	0	0
OTU110	0	12	0	0	0	0	0	0	0	0	0	0	0	0
OTU112	0	0	0	0	19	0	0	0	0	0	0	0	0	0
OTU113_suspect_mock_chimera	0	0	0	0	0	8	6	0	0	0	0	0	1	0
OTU114	0	0	4	14	0	4	0	0	0	0	0	0	0	0
OTU115	0	0	0	0	18	0	0	0	0	0	0	0	0	0
OTU116	0	0	0	0	0	0	0	0	0	0	17	0	0	0
OTU117	0	0	0	0	0	0	0	0	0	0	0	13	0	0
OTU118	0	0	0	0	0	16	0	0	0	0	0	0	0	0
OTU119	0	0	0	0	0	0	0	16	0	0	0	0	0	0
OTU120	0	0	0	0	0	3	4	0	0	0	0	0	1	0
OTU121	0	0	0	0	0	16	0	0	0	0	0	0	0	0
OTU122	0	0	0	0	0	0	4	0	0	0	0	0	0	0
OTU124	0	0	0	0	0	0	3	0	0	0	0	0	2	0
OTU125	0	0	0	0	0	0	0	0	12	0	0	0	0	0
OTU126	0	0	0	0	0	0	0	0	7	0	0	0	0	0
