CommonName,LinneanName,Database
,Allothenemus minutus,USDA
,Alniphagus aspericollis,USDA
,Ambrosiodmus devexulus,USDA
,Ambrosiodmus lecontei,USDA
,Ambrosiodmus minor,USDA
,Ambrosiodmus obliquus,USDA
,Ambrosiodmus rubricollis,USDA
,Ambrosiodmus sp.,USDA
,Ambrosiodmus tachygraphus,USDA
,Ambrosiophilus atratus,USDA
,Anisandrus dispar,USDA
,Anisandrus maiche,USDA
,Anisandrus obesus,USDA
,Anisandrus sayi,USDA
,Araptus,USDA
,Cactopinus pini,USDA
,Cactopinus rhois,USDA
,Carphoborus bifurcus,USDA
,Carphoborus blaisdelli,USDA
,Carphoborus brevisetosus,USDA
,Carphoborus frontalis,USDA
,Carphoborus pinicolens,USDA
,Carphoborus ponderosae,USDA
,Carphoborus simplex,USDA
,Carphoborus sp,USDA
,Carphoborus vandykei,USDA
,Chaetophloeus,USDA
,Chaetophloeus heterodoxus,USDA
,Chaetophloeus parkinsoniae,USDA
,Chaetophloeus pencillatus,USDA
,Chaetophloeus pruinosus,USDA
,Chramesus,USDA
,Chramesus chapuisi,USDA
,Chramesus hicoriae,USDA
,Cladoctonus brevisetosus,USDA
,Cnesinus strigicollis,USDA
,Cnestus mutilatus,USDA
,Coccotrypes,USDA
,Coccotrypes cyperi,USDA
,Coccotrypes carpophagus,USDA
,Coccotrypes dactyliperda,USDA
,Conophthorus coniperda,USDA
,Conophthorus edulis,USDA
,Conophthorus ponderosae,USDA
,Conophthorus radiatae,USDA
,Conophthorus sp.,USDA
,Coptoborus bellus,USDA
,Coptoborus pseudotenuis,USDA
,Corthylus columbianus,USDA
,Corthylus insularis,USDA
,Corthylus papulans,USDA
,Corthylus punctatissimus,USDA
,Corthylus spinifer,USDA
,Corthylus tuberculatus,USDA
,Cryphalus,USDA
,Cryphalus pubescens,USDA
,Cryphalus ruficollis,USDA
,Cryptocarenus heveae,USDA
,Cryptocarenus seriatus,USDA
,Crypturgus,USDA
,Crypturgus alutaceous,USDA
,Crypturgus borealis,USDA
,Crypturgus pusillus,USDA
,Crytocarenus seriatus,USDA
,Cyclorhipidion bodoanum,USDA
,Cyclorhipidion pelliculosum,USDA
,Dendrocranulus,USDA
,Dendrocranulus carbonarius,USDA
,Dendrocranulus cucurbitae,USDA
,Dendroctonus approximatus,USDA
,Dendroctonus brevicomis,USDA
,Dendroctonus frontalis,USDA
,Dendroctonus murrayanae,USDA
,Dendroctonus ponderosae,USDA
,Dendroctonus pseudotsugae,USDA
,Dendroctonus punctatus,USDA
,Dendroctonus rufipennis,USDA
,Dendroctonus simplex,USDA
,Dendroctonus terebrans,USDA
,Dendroctonus valens,USDA
