taxID,GenbankIDs,PercID,BitScore,Species,WellNumber,BatID
59463,gi|726974366|gb|KM364024.1|,99.42,309,Myotis lucifugus,02A,ACA0001L
59463,gi|726974352|gb|KM364017.1|,99.44,320,Myotis lucifugus,01A,ACA0001R
29078,gi|307715593|gb|HM486635.1|,97.7,298,Eptesicus fuscus,03A,DEY2616L
29078,gi|307715593|gb|HM486635.1|,98.39,326,Eptesicus fuscus,04A,DEY2616R
29078,gi|307715593|gb|HM486635.1|,98.26,302,Eptesicus fuscus,12D,DEY2618L
29078,gi|307715593|gb|HM486635.1|,97.67,296,Eptesicus fuscus,11D,DEY2618R
29078,gi|307715593|gb|HM486635.1|,97.11,291,Eptesicus fuscus,04G,DEY2619L
29078,gi|307715593|gb|HM486635.1|,98.38,324,Eptesicus fuscus,03G,DEY2619R
29078,gi|307715593|gb|HM486635.1|,97.13,292,Eptesicus fuscus,01E,DEY2620L
29078,gi|307715593|gb|HM486635.1|,98.28,305,Eptesicus fuscus,02E,DEY2620R
27668,gi|726974422|gb|KM382098.1|,97.33,316,Myotis leibii,07A,DEY3046L
27668,gi|726974422|gb|KM382098.1|,97.42,329,Myotis leibii,08A,DEY3046R
27668,gi|726974422|gb|KM382098.1|,97.41,327,Myotis leibii,03E,DEY3351L
27668,gi|726974422|gb|KM382098.1|,97.21,302,Myotis leibii,04E,DEY3351R
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,06E,DEY3620L
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,05E,DEY3620R
27668,gi|726974422|gb|KM382098.1|,97.14,294,Myotis leibii,06A,DEY3621L
27668,gi|726974422|gb|KM382098.1|,97.25,307,Myotis leibii,05A,DEY3621R
27668,gi|726974422|gb|KM382098.1|,96.81,313,Myotis leibii,07E,DEY3635L
27668,gi|726974422|gb|KM382098.1|,96.83,313,Myotis leibii,08E,DEY3635R
27668,gi|726974422|gb|KM382098.1|,97.34,318,Myotis leibii,09E,DEY3661L
27668,gi|726974422|gb|KM382098.1|,96.81,313,Myotis leibii,10E,DEY3661R
27668,gi|726974422|gb|KM382098.1|,97.71,300,Myotis leibii,10A,DEY3766L
27668,gi|726974422|gb|KM382098.1|,97.87,324,Myotis leibii,09A,DEY3766R
27668,gi|726974422|gb|KM382098.1|,97.93,335,Myotis leibii,11A,DEY3767L
27668,gi|726974422|gb|KM382098.1|,98.33,316,Myotis leibii,12A,DEY3767R
